IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
362048,Sp,4,Female,Did not complete high school (no diploma),Hispanic,west,2,3,1,2,2,1,1,1,2,2,1,1,2,3,1,1,1,1,2,2,1,2,1,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,03.5 to 10 mo,80,17,15,15,11,16,11,12,13
362046,Sp,9,Male,High school graduate (including GED),Hispanic,south,1,1,2,2,2,2,1,1,3,3,1,2,1,3,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,03.5 to 10 mo,81,18,16,12,13,17,11,12,17
362052,Sp,4,Female,Bachelor's degree or higher,Hispanic,west,1,1,1,1,3,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,03.5 to 10 mo,69,14,11,10,12,14,12,10,13
362057,Sp,9,Female,Some college or associate degree,Hispanic,northeast,3,4,4,4,4,3,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,3,2,2,1,2,3,2,1,1,2,2,3,2,2,1,2,2,2,1,2,3,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,03.5 to 10 mo,94,26,13,13,20,18,16,14,14
362060,Sp,5,Male,Some college or associate degree,Hispanic,west,4,4,3,3,4,3,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,3,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,03.5 to 10 mo,88,26,14,14,14,15,15,16,14
362043,Sp,5,Female,Bachelor's degree or higher,Hispanic,south,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,4,2,2,1,2,3,2,2,2,3,2,2,2,3,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,3,3,2,4,2,2,1,2,2,3,2,2,2,1,4,03.5 to 10 mo,137,21,28,25,22,23,18,21,21
369023,Sp,9,Female,Bachelor's degree or higher,Hispanic,west,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,60,13,10,10,10,10,10,10,10
362002,Sp,27,Male,High school graduate (including GED),Hispanic,south,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11 to 31.5 mo,73,17,10,15,14,13,10,11,10
318131,Sp,13,Female,High school graduate (including GED),Hispanic,midwest,2,2,3,3,3,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,11 to 31.5 mo,73,22,12,12,11,12,13,13,11
318132,Sp,13,Male,High school graduate (including GED),Hispanic,midwest,3,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,11 to 31.5 mo,62,26,10,10,10,10,11,11,12
318133,Sp,15,Female,High school graduate (including GED),Hispanic,midwest,2,3,3,3,3,3,2,2,2,1,3,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,3,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,11 to 31.5 mo,96,24,19,19,15,12,19,12,13
318134,Sp,20,Female,Did not complete high school (no diploma),Hispanic,midwest,3,3,4,4,2,2,3,3,3,2,3,2,2,3,3,2,2,2,3,2,3,2,2,3,2,2,3,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,11 to 31.5 mo,124,29,24,24,23,21,17,15,17
362025,Sp,27,Female,Bachelor's degree or higher,Hispanic,west,1,1,1,1,1,1,1,2,4,1,1,1,2,2,1,2,1,1,1,4,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,11 to 31.5 mo,74,14,16,13,13,11,10,11,11
369001,Sp,27,Male,High school graduate (including GED),Hispanic,west,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,11 to 31.5 mo,70,14,11,13,12,13,10,11,12
366008,Sp,23,Female,Bachelor's degree or higher,Hispanic,south,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,11 to 31.5 mo,66,14,10,11,11,12,10,12,10
369007,Sp,30,Female,Bachelor's degree or higher,Hispanic,west,2,2,2,1,3,2,2,1,2,2,2,2,2,3,1,4,2,2,4,2,1,2,2,4,3,1,2,1,2,2,1,1,2,3,1,1,1,4,1,2,4,2,2,4,2,1,4,4,4,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,1,1,1,1,1,3,1,4,4,3,4,1,2,2,2,3,11 to 31.5 mo,116,19,24,20,17,28,14,13,26
369016,Sp,24,Male,Bachelor's degree or higher,Hispanic,west,2,3,2,3,3,3,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,3,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,1,1,11 to 31.5 mo,84,22,13,12,13,21,12,13,17
362034,Sp,29,Female,High school graduate (including GED),Hispanic,west,1,2,2,2,1,1,1,4,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,11 to 31.5 mo,83,20,12,15,14,21,10,11,12
369022,Sp,26,Female,Bachelor's degree or higher,Hispanic,west,2,2,1,2,3,2,2,1,2,1,1,1,3,3,1,2,2,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,3,1,2,1,2,1,1,4,1,1,1,2,2,2,3,2,1,3,2,1,1,1,2,2,2,2,1,1,1,1,3,3,2,3,3,3,1,2,1,1,3,2,2,1,4,1,2,11 to 31.5 mo,106,18,17,16,16,19,17,21,19
369009,Sp,12,Female,Bachelor's degree or higher,Hispanic,west,1,2,1,2,2,2,2,1,1,1,3,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,11 to 31.5 mo,73,15,16,12,12,12,10,11,10
407001,Sp,16,Female,Bachelor's degree or higher,Hispanic,west,2,1,2,2,2,3,2,2,2,2,1,1,2,3,1,3,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,3,1,3,2,1,1,1,2,2,2,1,2,2,3,2,2,2,2,2,1,1,1,1,1,1,2,3,3,2,3,3,2,3,2,2,2,2,2,3,3,1,2,2,2,3,11 to 31.5 mo,108,20,17,17,17,18,14,25,22
407002,Sp,16,Male,Bachelor's degree or higher,Hispanic,northeast,2,2,1,2,2,1,2,1,2,2,1,2,2,3,1,2,1,1,2,3,2,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,3,3,1,2,2,1,2,11 to 31.5 mo,83,17,18,15,14,12,11,13,18
362051,Sp,18,Female,Some college or associate degree,Hispanic,west,1,2,1,1,1,1,1,1,3,3,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,4,1,1,1,2,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,11 to 31.5 mo,77,15,13,12,15,15,11,11,10
362054,Sp,19,Male,Some college or associate degree,Hispanic,south,3,4,3,2,3,3,1,2,2,3,2,2,1,3,2,2,2,3,2,1,2,1,2,2,3,2,2,1,2,2,2,1,1,2,3,2,2,1,2,1,1,2,1,2,2,3,2,2,1,2,2,1,2,2,1,3,2,2,1,2,2,2,1,3,2,1,2,3,2,1,1,1,2,2,1,2,1,3,2,1,11 to 31.5 mo,111,26,20,19,17,18,18,19,16
362053,Sp,22,Male,High school graduate (including GED),MultiRacial,south,1,3,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,11 to 31.5 mo,82,20,25,10,10,15,12,10,11
362056,Sp,17,Male,Some college or associate degree,Hispanic,west,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,11 to 31.5 mo,85,12,15,17,13,14,13,13,17
362058,Sp,16,Male,Some college or associate degree,Hispanic,south,3,4,4,3,4,4,1,1,2,1,1,1,2,1,1,1,2,1,3,2,1,2,2,1,1,1,2,2,1,3,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,3,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,11 to 31.5 mo,88,27,15,16,14,16,14,13,13
362059,Sp,17,Male,Some college or associate degree,Hispanic,northeast,2,2,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,3,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,3,1,3,11 to 31.5 mo,86,15,12,13,15,16,15,15,22
407003,Sp,16,Female,Bachelor's degree or higher,Hispanic,south,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,11 to 31.5 mo,69,13,11,13,12,11,10,12,11
362055,Sp,15,Male,High school graduate (including GED),Hispanic,south,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,11 to 31.5 mo,69,14,13,12,12,11,10,11,12
407004,Sp,16,Female,Some college or associate degree,White,south,2,2,1,2,3,1,1,1,2,3,1,2,2,2,1,2,1,1,2,1,1,2,1,3,1,2,2,1,2,2,1,1,3,3,1,1,1,1,2,1,2,2,1,1,1,2,1,1,3,1,3,1,1,1,1,2,1,2,1,2,3,1,4,2,1,2,2,1,2,4,3,2,2,2,3,4,3,2,2,3,11 to 31.5 mo,99,18,15,17,15,15,15,22,26
407005,Sp,17,Female,Bachelor's degree or higher,Hispanic,south,1,1,1,2,3,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11 to 31.5 mo,67,16,12,12,13,10,10,10,10
407006,Sp,16,Female,Bachelor's degree or higher,Hispanic,south,2,2,1,2,3,1,2,1,3,2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,11 to 31.5 mo,78,19,14,12,14,14,10,14,13
407007,Sp,12,Female,Bachelor's degree or higher,Hispanic,south,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,3,11 to 31.5 mo,67,10,10,11,11,10,11,14,14
