IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0013,q0014,q0016,q0018,q0020,q0021,q0023,q0024,q0026,q0027,q0029,q0030,q0031,q0032,q0033,q0034,q0036,q0037,q0040,q0041,q0043,q0044,q0046,q0047,q0049,q0050,q0051,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0067,q0068,q0069,q0073,q0075,q0076,q0077,q0081,q0082,q0083,q0084,q0086,q0087,q0089,q0090,q0091,q0092,q0093,q0096,q0098,q0099,q0100,q0101,q0103,q0104,q0105,q0106,q0108,q0111,q0113,q0114,q0115,q0117,q0118,q0119,q0122,q0126,q0127,q0128,q0129,q0130,q0131,q0132,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
400020,In-house-Sp,43,41.00 to 50.99 years,Female,Some college or associate degree,Hispanic,west,1,1,1,1,1,1,1,2,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,4,1,2,2,1,2,2,2,2,1,1,1,2,2,2,1,3,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,90,14,12,12,20,17,15,14,18
400033,In-house-Sp,32,31.00 to 40.99 years,Female,High school graduate (including GED),Hispanic,west,3,3,3,3,3,3,1,4,2,3,2,2,2,1,1,3,1,4,2,2,2,3,2,2,2,2,2,2,2,1,2,2,3,3,1,1,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,3,2,2,3,3,2,3,3,99,28,20,20,18,17,10,14,24
400031,In-house-Sp,27,21.00 to 30.99 years,Male,High school graduate (including GED),Hispanic,west,3,3,2,4,4,3,2,3,1,3,3,1,2,1,1,1,1,1,3,2,4,2,1,2,3,1,1,1,1,2,1,3,2,1,2,2,2,2,1,1,1,4,1,2,2,4,4,3,3,3,4,1,1,2,3,2,2,2,4,1,1,1,1,2,1,2,2,2,3,3,2,1,1,2,1,2,1,1,2,2,118,28,16,18,17,27,22,18,15
400007,In-house-Sp,32,31.00 to 40.99 years,Female,Bachelor's degree or higher,Hispanic,west,2,3,1,2,2,4,2,2,2,2,4,1,4,2,1,1,1,2,1,2,4,3,2,4,3,2,3,3,3,3,2,2,2,1,2,2,1,1,1,1,2,4,1,3,1,2,2,4,2,3,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,3,1,2,1,1,1,1,1,1,122,22,19,30,15,24,16,18,14
400012,In-house-Sp,23,21.00 to 30.99 years,Female,High school graduate (including GED),Hispanic,west,1,2,2,2,1,2,2,1,2,1,2,1,3,1,1,1,1,2,1,2,2,4,1,4,1,1,2,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,78,16,15,20,13,10,10,10,13
400005,In-house-Sp,36,31.00 to 40.99 years,Female,Some college or associate degree,Hispanic,west,1,3,3,1,3,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,1,3,1,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,81,16,16,22,11,12,10,10,20
400030,In-house-Sp,41,41.00 to 50.99 years,Female,Some college or associate degree,Hispanic,west,3,1,3,3,3,2,3,1,3,3,2,3,3,1,4,2,1,2,1,1,2,4,1,1,2,1,4,2,1,1,1,4,3,3,1,2,1,1,1,1,2,2,1,1,2,3,1,2,1,2,3,1,1,2,2,2,1,1,1,1,3,4,2,4,2,4,1,2,2,2,4,1,4,4,4,2,4,3,3,3,115,25,20,19,18,17,15,26,32
400002,In-house-Sp,39,31.00 to 40.99 years,Female,Bachelor's degree or higher,Hispanic,west,2,1,2,2,2,3,2,1,1,1,1,1,2,1,2,1,1,1,2,2,3,4,1,4,2,1,4,1,2,2,1,1,1,3,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,3,1,3,2,3,2,1,2,1,1,1,2,1,2,2,101,17,14,24,15,15,14,19,15
400028,In-house-Sp,66,65.00 to 99.99 years,Female,Did not complete high school (no diploma),Hispanic,west,1,1,3,3,1,1,2,1,1,1,4,1,4,1,2,2,1,4,1,2,4,4,1,4,1,1,4,2,1,1,2,1,3,4,1,2,3,1,1,1,2,2,1,2,3,2,2,3,1,2,4,1,2,1,2,2,2,1,2,3,1,2,3,4,1,4,1,2,2,2,3,2,4,4,4,4,3,4,1,4,126,15,22,23,19,20,20,22,33
400029,In-house-Sp,62,51.00 to 64.99 years,Male,Some college or associate degree,Hispanic,west,2,2,4,3,3,1,1,1,1,2,4,2,2,1,3,1,1,1,1,1,1,4,2,2,2,1,2,2,1,1,1,4,1,3,1,2,1,1,1,1,1,2,2,2,2,1,3,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,1,4,2,1,2,1,2,2,2,2,2,2,2,2,102,20,17,18,16,20,11,20,19
400032,In-house-Sp,38,31.00 to 40.99 years,Female,Some college or associate degree,Hispanic,west,2,3,2,3,1,1,1,1,2,2,3,1,3,1,1,2,1,1,2,3,3,2,1,3,1,1,4,2,2,2,3,2,3,4,1,1,1,1,1,1,1,3,1,3,1,2,2,1,2,2,3,3,1,1,2,3,2,1,1,1,1,1,1,2,1,1,2,1,3,1,2,1,2,2,1,1,1,1,1,2,107,18,18,21,18,18,18,14,14
400009,In-house-Sp,55,51.00 to 64.99 years,Female,High school graduate (including GED),Hispanic,west,2,1,2,1,4,2,2,1,2,1,1,2,3,2,1,1,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,4,1,2,2,1,2,2,2,2,3,2,2,2,2,2,1,3,2,2,2,1,1,1,2,1,1,1,4,3,3,2,2,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,117,18,18,20,20,21,14,24,19
