IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0013,q0014,q0016,q0018,q0020,q0021,q0023,q0024,q0026,q0027,q0029,q0030,q0031,q0032,q0033,q0034,q0036,q0037,q0040,q0041,q0043,q0044,q0046,q0047,q0049,q0050,q0051,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0067,q0068,q0069,q0073,q0075,q0076,q0077,q0081,q0082,q0083,q0084,q0086,q0087,q0089,q0090,q0091,q0092,q0093,q0096,q0098,q0099,q0100,q0101,q0103,q0104,q0105,q0106,q0108,q0111,q0113,q0114,q0115,q0117,q0118,q0119,q0122,q0126,q0127,q0128,q0129,q0130,q0131,q0132,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
371003,Sp,32,31.00 to 40.99 years,Female,High school graduate (including GED),Hispanic,west,1,1,2,1,2,1,1,1,4,2,2,1,2,1,2,4,4,3,2,2,1,4,3,1,3,1,3,2,3,2,1,1,3,4,2,4,1,3,1,1,4,2,2,1,1,1,2,2,1,3,2,2,2,2,2,2,1,1,4,3,1,1,1,1,1,2,2,4,3,4,2,1,1,4,2,2,1,1,1,2,127,16,23,23,21,19,21,20,17
371005,Sp,36,31.00 to 40.99 years,Female,Some college or associate degree,Hispanic,west,1,1,2,1,2,3,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,76,16,13,11,14,15,13,10,11
371002,Sp,37,31.00 to 40.99 years,Female,Some college or associate degree,Hispanic,west,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,15,12,10,11,12,11,11,10
371001,Sp,38,31.00 to 40.99 years,Male,Some college or associate degree,Hispanic,west,1,1,2,1,1,1,2,1,2,1,2,1,4,2,1,1,1,1,2,3,2,3,1,2,2,2,2,1,1,2,2,2,2,4,2,4,1,1,2,4,1,4,1,2,1,2,2,3,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,1,1,4,3,2,2,1,1,1,109,13,18,18,24,19,14,16,17
371013,Sp,40,31.00 to 40.99 years,Female,High school graduate (including GED),Hispanic,west,2,1,2,4,1,2,1,1,1,3,2,2,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,1,2,4,1,2,2,1,1,2,2,2,2,1,1,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,3,2,1,2,2,1,1,89,18,15,15,18,20,10,11,17
371007,Sp,41,41.00 to 50.99 years,Female,Some college or associate degree,Hispanic,west,2,2,2,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,73,18,10,13,12,16,11,11,12
371006,Sp,65,65.00 to 99.99 years,Female,Some college or associate degree,Hispanic,west,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,2,4,2,4,2,1,2,1,1,3,3,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,100,14,13,20,22,19,10,16,19
371009,Sp,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,Hispanic,northeast,1,1,2,2,1,2,1,2,2,3,4,3,3,2,1,1,1,2,1,2,2,2,3,1,2,2,4,2,2,2,2,2,1,3,1,4,3,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,4,4,4,4,3,4,1,1,2,1,2,1,2,2,1,2,2,2,118,17,20,22,19,17,12,28,17
371008,Sp,46,41.00 to 50.99 years,Female,Bachelor's degree or higher,Hispanic,west,3,3,2,3,3,3,2,1,2,3,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,25,11,17,17,18,12,12,10
366001,Sp,21,21.00 to 30.99 years,Male,Some college or associate degree,Hispanic,south,2,1,2,1,3,2,2,1,3,3,2,1,1,1,1,1,2,3,2,2,2,2,3,3,3,1,3,2,3,2,1,2,2,4,1,2,4,1,1,1,2,3,2,2,2,1,2,2,3,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,3,2,1,2,106,20,16,24,19,21,13,13,17
