age_range,TOT_raw,n,perc,cum_per
21.00 to 30.99 years,111,5,1.7668,68.5512
21.00 to 30.99 years,112,3,1.0601,69.6113
21.00 to 30.99 years,113,3,1.0601,70.6714
21.00 to 30.99 years,114,3,1.0601,71.7314
21.00 to 30.99 years,115,4,1.4134,73.1449
21.00 to 30.99 years,116,3,1.0601,74.2049
21.00 to 30.99 years,117,7,2.4735,76.6784
21.00 to 30.99 years,119,1,0.3534,77.0318
21.00 to 30.99 years,120,2,0.7067,77.7385
21.00 to 30.99 years,121,2,0.7067,78.4452
21.00 to 30.99 years,122,4,1.4134,79.8587
21.00 to 30.99 years,123,1,0.3534,80.212
21.00 to 30.99 years,124,3,1.0601,81.2721
21.00 to 30.99 years,125,4,1.4134,82.6855
21.00 to 30.99 years,127,3,1.0601,83.7456
21.00 to 30.99 years,128,3,1.0601,84.8057
21.00 to 30.99 years,129,3,1.0601,85.8657
21.00 to 30.99 years,130,3,1.0601,86.9258
21.00 to 30.99 years,131,4,1.4134,88.3392
21.00 to 30.99 years,132,1,0.3534,88.6926
21.00 to 30.99 years,134,1,0.3534,89.0459
21.00 to 30.99 years,135,1,0.3534,89.3993
21.00 to 30.99 years,136,3,1.0601,90.4594
21.00 to 30.99 years,138,1,0.3534,90.8127
21.00 to 30.99 years,139,4,1.4134,92.2261
21.00 to 30.99 years,140,2,0.7067,92.9329
21.00 to 30.99 years,142,1,0.3534,93.2862
21.00 to 30.99 years,143,2,0.7067,93.9929
21.00 to 30.99 years,144,2,0.7067,94.6996
21.00 to 30.99 years,146,1,0.3534,95.053
21.00 to 30.99 years,149,2,0.7067,95.7597
21.00 to 30.99 years,152,1,0.3534,96.1131
21.00 to 30.99 years,153,2,0.7067,96.8198
21.00 to 30.99 years,155,1,0.3534,97.1731
21.00 to 30.99 years,159,2,0.7067,97.8799
21.00 to 30.99 years,160,1,0.3534,98.2332
21.00 to 30.99 years,163,1,0.3534,98.5866
21.00 to 30.99 years,165,1,0.3534,98.9399
21.00 to 30.99 years,168,1,0.3534,99.2933
21.00 to 30.99 years,180,1,0.3534,99.6466
21.00 to 30.99 years,190,1,0.3534,100
31.00 to 40.99 years,61,1,0.3521,0.3521
31.00 to 40.99 years,62,2,0.7042,1.0563
31.00 to 40.99 years,63,3,1.0563,2.1127
31.00 to 40.99 years,65,2,0.7042,2.8169
31.00 to 40.99 years,66,1,0.3521,3.169
31.00 to 40.99 years,68,3,1.0563,4.2254
31.00 to 40.99 years,69,2,0.7042,4.9296
31.00 to 40.99 years,71,5,1.7606,6.6901
31.00 to 40.99 years,72,1,0.3521,7.0423
31.00 to 40.99 years,73,2,0.7042,7.7465
31.00 to 40.99 years,75,5,1.7606,9.507
31.00 to 40.99 years,76,5,1.7606,11.2676
31.00 to 40.99 years,77,5,1.7606,13.0282
31.00 to 40.99 years,78,2,0.7042,13.7324
31.00 to 40.99 years,79,6,2.1127,15.8451
31.00 to 40.99 years,80,7,2.4648,18.3099
31.00 to 40.99 years,81,6,2.1127,20.4225
31.00 to 40.99 years,82,2,0.7042,21.1268
31.00 to 40.99 years,83,5,1.7606,22.8873
31.00 to 40.99 years,84,5,1.7606,24.6479
31.00 to 40.99 years,85,8,2.8169,27.4648
31.00 to 40.99 years,86,4,1.4085,28.8732
31.00 to 40.99 years,87,6,2.1127,30.9859
31.00 to 40.99 years,88,7,2.4648,33.4507
31.00 to 40.99 years,89,6,2.1127,35.5634
31.00 to 40.99 years,90,4,1.4085,36.9718
31.00 to 40.99 years,91,10,3.5211,40.493
31.00 to 40.99 years,92,6,2.1127,42.6056
31.00 to 40.99 years,93,11,3.8732,46.4789
31.00 to 40.99 years,94,7,2.4648,48.9437
31.00 to 40.99 years,95,7,2.4648,51.4085
31.00 to 40.99 years,96,7,2.4648,53.8732
31.00 to 40.99 years,97,9,3.169,57.0423
31.00 to 40.99 years,98,7,2.4648,59.507
31.00 to 40.99 years,99,6,2.1127,61.6197
31.00 to 40.99 years,100,6,2.1127,63.7324
31.00 to 40.99 years,101,6,2.1127,65.8451
31.00 to 40.99 years,102,5,1.7606,67.6056
31.00 to 40.99 years,103,5,1.7606,69.3662
31.00 to 40.99 years,104,3,1.0563,70.4225
31.00 to 40.99 years,105,3,1.0563,71.4789
31.00 to 40.99 years,106,3,1.0563,72.5352
31.00 to 40.99 years,107,5,1.7606,74.2958
31.00 to 40.99 years,108,9,3.169,77.4648
31.00 to 40.99 years,109,7,2.4648,79.9296
31.00 to 40.99 years,110,3,1.0563,80.9859
31.00 to 40.99 years,111,7,2.4648,83.4507
31.00 to 40.99 years,112,1,0.3521,83.8028
31.00 to 40.99 years,113,2,0.7042,84.507
31.00 to 40.99 years,114,3,1.0563,85.5634
31.00 to 40.99 years,115,1,0.3521,85.9155
31.00 to 40.99 years,116,1,0.3521,86.2676
31.00 to 40.99 years,117,4,1.4085,87.6761
31.00 to 40.99 years,118,1,0.3521,88.0282
31.00 to 40.99 years,119,5,1.7606,89.7887
31.00 to 40.99 years,120,4,1.4085,91.1972
31.00 to 40.99 years,121,2,0.7042,91.9014
31.00 to 40.99 years,122,2,0.7042,92.6056
31.00 to 40.99 years,123,1,0.3521,92.9577
31.00 to 40.99 years,124,3,1.0563,94.0141
31.00 to 40.99 years,125,2,0.7042,94.7183
31.00 to 40.99 years,127,2,0.7042,95.4225
31.00 to 40.99 years,129,1,0.3521,95.7746
31.00 to 40.99 years,130,1,0.3521,96.1268
31.00 to 40.99 years,131,1,0.3521,96.4789
31.00 to 40.99 years,133,1,0.3521,96.831
31.00 to 40.99 years,136,1,0.3521,97.1831
31.00 to 40.99 years,137,1,0.3521,97.5352
31.00 to 40.99 years,139,2,0.7042,98.2394
31.00 to 40.99 years,141,1,0.3521,98.5915
31.00 to 40.99 years,148,1,0.3521,98.9437
31.00 to 40.99 years,150,1,0.3521,99.2958
31.00 to 40.99 years,154,1,0.3521,99.6479
31.00 to 40.99 years,162,1,0.3521,100
41.00 to 50.99 years,60,3,1.875,1.875
41.00 to 50.99 years,62,1,0.625,2.5
41.00 to 50.99 years,63,1,0.625,3.125
41.00 to 50.99 years,64,1,0.625,3.75
41.00 to 50.99 years,67,1,0.625,4.375
41.00 to 50.99 years,68,1,0.625,5
41.00 to 50.99 years,69,1,0.625,5.625
41.00 to 50.99 years,70,2,1.25,6.875
41.00 to 50.99 years,72,4,2.5,9.375
41.00 to 50.99 years,73,2,1.25,10.625
41.00 to 50.99 years,74,2,1.25,11.875
41.00 to 50.99 years,75,2,1.25,13.125
41.00 to 50.99 years,76,3,1.875,15
41.00 to 50.99 years,77,5,3.125,18.125
41.00 to 50.99 years,78,1,0.625,18.75
41.00 to 50.99 years,79,2,1.25,20
41.00 to 50.99 years,80,2,1.25,21.25
41.00 to 50.99 years,81,4,2.5,23.75
41.00 to 50.99 years,82,2,1.25,25
41.00 to 50.99 years,83,5,3.125,28.125
41.00 to 50.99 years,84,5,3.125,31.25
41.00 to 50.99 years,85,2,1.25,32.5
41.00 to 50.99 years,86,1,0.625,33.125
41.00 to 50.99 years,87,2,1.25,34.375
41.00 to 50.99 years,88,3,1.875,36.25
41.00 to 50.99 years,89,3,1.875,38.125
41.00 to 50.99 years,90,3,1.875,40
41.00 to 50.99 years,91,4,2.5,42.5
41.00 to 50.99 years,92,8,5,47.5
41.00 to 50.99 years,93,3,1.875,49.375
41.00 to 50.99 years,94,1,0.625,50
41.00 to 50.99 years,95,1,0.625,50.625
41.00 to 50.99 years,96,5,3.125,53.75
41.00 to 50.99 years,98,2,1.25,55
41.00 to 50.99 years,99,4,2.5,57.5
41.00 to 50.99 years,100,1,0.625,58.125
41.00 to 50.99 years,101,2,1.25,59.375
41.00 to 50.99 years,102,5,3.125,62.5
41.00 to 50.99 years,103,3,1.875,64.375
41.00 to 50.99 years,105,3,1.875,66.25
41.00 to 50.99 years,106,3,1.875,68.125
41.00 to 50.99 years,107,2,1.25,69.375
41.00 to 50.99 years,108,3,1.875,71.25
41.00 to 50.99 years,109,2,1.25,72.5
41.00 to 50.99 years,110,1,0.625,73.125
41.00 to 50.99 years,111,3,1.875,75
41.00 to 50.99 years,112,1,0.625,75.625
41.00 to 50.99 years,113,4,2.5,78.125
41.00 to 50.99 years,116,1,0.625,78.75
41.00 to 50.99 years,117,2,1.25,80
41.00 to 50.99 years,119,3,1.875,81.875
41.00 to 50.99 years,120,1,0.625,82.5
41.00 to 50.99 years,121,1,0.625,83.125
41.00 to 50.99 years,122,2,1.25,84.375
41.00 to 50.99 years,124,2,1.25,85.625
41.00 to 50.99 years,125,4,2.5,88.125
41.00 to 50.99 years,126,2,1.25,89.375
41.00 to 50.99 years,127,1,0.625,90
41.00 to 50.99 years,128,3,1.875,91.875
41.00 to 50.99 years,129,1,0.625,92.5
41.00 to 50.99 years,130,1,0.625,93.125
41.00 to 50.99 years,136,1,0.625,93.75
41.00 to 50.99 years,141,2,1.25,95
41.00 to 50.99 years,152,1,0.625,95.625
41.00 to 50.99 years,153,2,1.25,96.875
41.00 to 50.99 years,155,1,0.625,97.5
41.00 to 50.99 years,172,1,0.625,98.125
41.00 to 50.99 years,173,1,0.625,98.75
41.00 to 50.99 years,182,1,0.625,99.375
41.00 to 50.99 years,190,1,0.625,100
51.00 to 64.99 years,64,1,0.7752,0.7752
51.00 to 64.99 years,67,1,0.7752,1.5504
51.00 to 64.99 years,68,1,0.7752,2.3256
51.00 to 64.99 years,69,1,0.7752,3.1008
51.00 to 64.99 years,70,1,0.7752,3.876
51.00 to 64.99 years,74,2,1.5504,5.4264
51.00 to 64.99 years,75,3,2.3256,7.7519
51.00 to 64.99 years,76,3,2.3256,10.0775
51.00 to 64.99 years,80,3,2.3256,12.4031
51.00 to 64.99 years,81,1,0.7752,13.1783
51.00 to 64.99 years,82,2,1.5504,14.7287
51.00 to 64.99 years,83,1,0.7752,15.5039
51.00 to 64.99 years,84,1,0.7752,16.2791
51.00 to 64.99 years,85,3,2.3256,18.6047
51.00 to 64.99 years,86,2,1.5504,20.155
51.00 to 64.99 years,87,4,3.1008,23.2558
51.00 to 64.99 years,88,4,3.1008,26.3566
51.00 to 64.99 years,89,4,3.1008,29.4574
51.00 to 64.99 years,90,5,3.876,33.3333
51.00 to 64.99 years,91,3,2.3256,35.6589
51.00 to 64.99 years,92,4,3.1008,38.7597
51.00 to 64.99 years,93,4,3.1008,41.8605
51.00 to 64.99 years,94,2,1.5504,43.4109
51.00 to 64.99 years,95,3,2.3256,45.7364
51.00 to 64.99 years,96,3,2.3256,48.062
51.00 to 64.99 years,97,3,2.3256,50.3876
51.00 to 64.99 years,98,4,3.1008,53.4884
51.00 to 64.99 years,99,3,2.3256,55.814
51.00 to 64.99 years,100,3,2.3256,58.1395
51.00 to 64.99 years,102,2,1.5504,59.6899
51.00 to 64.99 years,104,3,2.3256,62.0155
51.00 to 64.99 years,106,2,1.5504,63.5659
51.00 to 64.99 years,107,2,1.5504,65.1163
51.00 to 64.99 years,108,1,0.7752,65.8915
51.00 to 64.99 years,109,2,1.5504,67.4419
51.00 to 64.99 years,110,1,0.7752,68.2171
51.00 to 64.99 years,111,4,3.1008,71.3178
51.00 to 64.99 years,112,2,1.5504,72.8682
51.00 to 64.99 years,113,1,0.7752,73.6434
51.00 to 64.99 years,114,1,0.7752,74.4186
51.00 to 64.99 years,115,2,1.5504,75.969
51.00 to 64.99 years,116,2,1.5504,77.5194
51.00 to 64.99 years,119,1,0.7752,78.2946
51.00 to 64.99 years,120,1,0.7752,79.0698
51.00 to 64.99 years,121,2,1.5504,80.6202
51.00 to 64.99 years,122,2,1.5504,82.1705
51.00 to 64.99 years,123,2,1.5504,83.7209
51.00 to 64.99 years,125,1,0.7752,84.4961
51.00 to 64.99 years,127,1,0.7752,85.2713
51.00 to 64.99 years,128,1,0.7752,86.0465
51.00 to 64.99 years,130,1,0.7752,86.8217
51.00 to 64.99 years,132,1,0.7752,87.5969
51.00 to 64.99 years,133,1,0.7752,88.3721
51.00 to 64.99 years,134,1,0.7752,89.1473
51.00 to 64.99 years,135,1,0.7752,89.9225
51.00 to 64.99 years,136,1,0.7752,90.6977
51.00 to 64.99 years,144,1,0.7752,91.4729
51.00 to 64.99 years,145,2,1.5504,93.0233
51.00 to 64.99 years,146,1,0.7752,93.7984
51.00 to 64.99 years,148,1,0.7752,94.5736
51.00 to 64.99 years,150,1,0.7752,95.3488
51.00 to 64.99 years,151,1,0.7752,96.124
51.00 to 64.99 years,154,1,0.7752,96.8992
51.00 to 64.99 years,158,1,0.7752,97.6744
51.00 to 64.99 years,166,1,0.7752,98.4496
51.00 to 64.99 years,177,1,0.7752,99.2248
51.00 to 64.99 years,179,1,0.7752,100
65.00 to 99.99 years,60,2,2.9851,2.9851
65.00 to 99.99 years,66,1,1.4925,4.4776
65.00 to 99.99 years,71,1,1.4925,5.9701
65.00 to 99.99 years,73,1,1.4925,7.4627
65.00 to 99.99 years,74,1,1.4925,8.9552
65.00 to 99.99 years,75,3,4.4776,13.4328
65.00 to 99.99 years,79,1,1.4925,14.9254
65.00 to 99.99 years,81,1,1.4925,16.4179
65.00 to 99.99 years,82,1,1.4925,17.9104
65.00 to 99.99 years,84,1,1.4925,19.403
65.00 to 99.99 years,85,1,1.4925,20.8955
65.00 to 99.99 years,86,2,2.9851,23.8806
65.00 to 99.99 years,88,1,1.4925,25.3731
65.00 to 99.99 years,89,2,2.9851,28.3582
65.00 to 99.99 years,90,2,2.9851,31.3433
65.00 to 99.99 years,91,2,2.9851,34.3284
65.00 to 99.99 years,95,3,4.4776,38.806
65.00 to 99.99 years,96,2,2.9851,41.791
65.00 to 99.99 years,97,1,1.4925,43.2836
65.00 to 99.99 years,99,2,2.9851,46.2687
65.00 to 99.99 years,101,1,1.4925,47.7612
65.00 to 99.99 years,102,1,1.4925,49.2537
65.00 to 99.99 years,104,5,7.4627,56.7164
65.00 to 99.99 years,105,2,2.9851,59.7015
65.00 to 99.99 years,106,5,7.4627,67.1642
65.00 to 99.99 years,108,4,5.9701,73.1343
65.00 to 99.99 years,110,1,1.4925,74.6269
65.00 to 99.99 years,112,2,2.9851,77.6119
65.00 to 99.99 years,114,2,2.9851,80.597
65.00 to 99.99 years,115,1,1.4925,82.0896
65.00 to 99.99 years,117,1,1.4925,83.5821
65.00 to 99.99 years,118,1,1.4925,85.0746
65.00 to 99.99 years,120,1,1.4925,86.5672
65.00 to 99.99 years,123,1,1.4925,88.0597
65.00 to 99.99 years,125,1,1.4925,89.5522
65.00 to 99.99 years,128,1,1.4925,91.0448
65.00 to 99.99 years,130,1,1.4925,92.5373
65.00 to 99.99 years,142,1,1.4925,94.0299
65.00 to 99.99 years,154,1,1.4925,95.5224
65.00 to 99.99 years,156,1,1.4925,97.0149
65.00 to 99.99 years,160,1,1.4925,98.5075
65.00 to 99.99 years,164,1,1.4925,100
