IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
105045,SM,13,Female,Bachelor's degree or higher,Hispanic,south,09.5 to 20 mo,70,12,12,11,10,11,13,13,10
105046,SM,24,Female,Bachelor's degree or higher,MultiRacial,midwest,21 to 31.5 mo,63,16,11,10,11,10,11,10,10
105047,SM,24,Male,Bachelor's degree or higher,MultiRacial,midwest,21 to 31.5 mo,65,17,10,10,11,11,11,12,10
105048,SM,24,Male,Bachelor's degree or higher,MultiRacial,midwest,21 to 31.5 mo,69,27,10,11,12,13,13,10,13
105052,SM,29,Male,Some college or associate degree,White,midwest,21 to 31.5 mo,91,14,17,21,15,16,11,11,10
105062,SM,8,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,94,13,21,14,18,13,15,13,22
105071,SM,23,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,75,11,17,13,10,13,11,11,11
105072,SM,21,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,81,15,17,17,10,13,11,13,14
105074,SM,16,Male,Bachelor's degree or higher,White,northeast,09.5 to 20 mo,84,16,16,13,12,13,17,13,11
105075,SM,24,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,86,14,15,14,18,12,16,11,13
105076,SM,23,Male,Bachelor's degree or higher,MultiRacial,south,21 to 31.5 mo,105,16,21,19,19,17,17,12,10
105077,SM,5,Male,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,81,19,19,15,12,10,13,12,19
105078,SM,4,Female,High school graduate (including GED),Black,midwest,03.5 to 6 mo,87,24,20,15,12,11,15,14,27
105079,SM,5,Female,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,83,12,20,11,13,10,15,14,20
105080,SM,5,Female,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,85,12,18,13,14,10,15,15,22
105081,SM,11,Female,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,84,20,13,15,15,10,17,14,17
105082,SM,9,Female,Some college or associate degree,White,south,07 to 10.5 mo,75,11,18,12,13,11,11,10,13
105085,SM,16,Female,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,79,14,12,13,16,13,13,12,13
105086,SM,8,Female,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,84,12,22,13,12,12,11,14,14
105089,SM,11,Female,Some college or associate degree,White,midwest,09.5 to 20 mo,101,15,21,18,13,12,19,18,31
105090,SM,11,Female,Bachelor's degree or higher,MultiRacial,midwest,09.5 to 20 mo,99,19,15,19,18,13,15,19,19
105092,SM,24,Male,Bachelor's degree or higher,MultiRacial,south,21 to 31.5 mo,73,14,12,14,11,11,14,11,10
105094,SM,20,Female,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,74,13,13,13,13,14,11,10,11
105099,SM,22,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,83,17,13,16,13,13,15,13,12
105100,SM,10,Female,Bachelor's degree or higher,Black,midwest,09.5 to 20 mo,74,18,12,11,11,10,15,15,15
105102,SM,25,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,76,11,19,12,11,12,12,10,10
105103,SM,7,Male,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,100,10,30,14,19,11,15,11,12
105104,SM,4,Female,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,104,22,24,16,17,11,16,20,28
105113,SM,8,Female,Some college or associate degree,White,midwest,07 to 10.5 mo,84,19,21,12,14,10,14,13,10
105114,SM,12,Male,Some college or associate degree,White,midwest,09.5 to 20 mo,101,16,19,18,16,15,18,15,15
105115,SM,6,Male,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,89,20,19,15,14,13,14,14,17
105116,SM,25,Female,Some college or associate degree,White,midwest,21 to 31.5 mo,92,12,18,18,15,11,17,13,11
105120,SM,15,Male,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,71,10,10,12,11,12,14,12,10
106002,SM,6,Female,Bachelor's degree or higher,Hispanic,midwest,03.5 to 6 mo,97,11,19,17,14,14,14,19,26
106003,SM,28,Male,Bachelor's degree or higher,Hispanic,midwest,21 to 31.5 mo,90,13,15,16,18,10,15,16,13
106004,SM,18,Male,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,94,12,16,12,16,12,19,19,18
106006,SM,21,Female,Bachelor's degree or higher,Hispanic,midwest,21 to 31.5 mo,77,12,13,13,13,12,12,14,17
106013,SM,29,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,71,15,11,16,11,11,12,10,10
106015,SM,8,Female,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,76,17,14,12,13,10,14,13,14
118008,SM,12,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,76,11,12,11,14,10,16,13,10
118010,SM,17,Male,Some college or associate degree,White,south,09.5 to 20 mo,82,11,12,13,14,13,16,14,13
118020,SM,15,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,91,20,15,13,16,13,17,17,17
118021,SM,6,Male,Some college or associate degree,Hispanic,south,03.5 to 6 mo,62,12,10,10,10,11,11,10,17
118022,SM,29,Male,High school graduate (including GED),Hispanic,south,21 to 31.5 mo,61,13,10,10,10,10,10,11,10
118023,SM,30,Female,Bachelor's degree or higher,MultiRacial,south,21 to 31.5 mo,104,19,17,19,16,15,18,19,13
118024,SM,7,Female,Bachelor's degree or higher,MultiRacial,south,07 to 10.5 mo,94,18,17,16,14,14,16,17,27
118025,SM,18,Male,Bachelor's degree or higher,AmericanIndAlaskanNat,south,09.5 to 20 mo,92,14,13,18,16,10,18,17,12
118028,SM,27,Female,Some college or associate degree,White,south,21 to 31.5 mo,76,10,13,13,14,15,10,11,11
118035,SM,27,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,107,18,17,20,21,14,18,17,14
118036,SM,5,Male,Bachelor's degree or higher,White,south,03.5 to 6 mo,111,14,27,19,20,13,14,18,23
118037,SM,26,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,105,16,15,15,23,17,18,17,13
118038,SM,26,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,93,11,15,15,17,16,16,14,11
118039,SM,8,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,87,15,18,13,19,11,15,11,10
118041,SM,7,Male,Bachelor's degree or higher,White,west,07 to 10.5 mo,86,16,19,16,13,12,16,10,12
118042,SM,19,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,86,15,14,14,14,17,15,12,13
118043,SM,26,Male,Bachelor's degree or higher,White,northeast,21 to 31.5 mo,70,13,12,10,10,12,16,10,10
118044,SM,25,Male,High school graduate (including GED),White,northeast,21 to 31.5 mo,118,17,18,14,23,13,27,23,10
118046,SM,16,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,94,17,16,15,16,13,18,16,17
118049,SM,17,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,71,12,11,12,12,11,14,11,10
118050,SM,5,Female,Bachelor's degree or higher,White,south,03.5 to 6 mo,99,13,24,15,15,11,18,16,20
118052,SM,25,Female,Some college or associate degree,White,south,21 to 31.5 mo,72,10,10,15,11,10,14,12,10
118053,SM,7,Female,Some college or associate degree,White,south,07 to 10.5 mo,84,10,19,12,11,10,17,15,14
118055,SM,19,Male,Some college or associate degree,White,south,09.5 to 20 mo,86,15,13,15,17,15,13,13,12
118067,SM,17,Male,Bachelor's degree or higher,White,NA,09.5 to 20 mo,80,16,16,16,12,10,14,12,10
118068,SM,8,Male,Some college or associate degree,White,south,07 to 10.5 mo,101,15,18,17,17,13,19,17,22
118071,SM,15,Female,Bachelor's degree or higher,White,northeast,09.5 to 20 mo,89,14,15,13,16,16,13,16,10
118073,SM,8,Female,Some college or associate degree,White,south,07 to 10.5 mo,92,14,19,16,16,11,17,13,20
118074,SM,29,Female,Some college or associate degree,White,south,21 to 31.5 mo,100,14,18,20,17,16,14,15,10
118075,SM,11,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,99,17,18,16,16,14,19,16,23
118079,SM,11,Male,Some college or associate degree,White,midwest,09.5 to 20 mo,79,20,18,12,13,10,13,13,14
118080,SM,8,Male,Bachelor's degree or higher,Black,south,07 to 10.5 mo,87,18,18,11,18,10,14,16,20
118081,SM,24,Female,Bachelor's degree or higher,Black,south,21 to 31.5 mo,77,21,15,12,14,11,13,12,10
118082,SM,11,Male,Some college or associate degree,White,midwest,09.5 to 20 mo,76,19,17,12,12,10,14,11,15
119001,SM,20,Female,Did not complete high school (no diploma),Black,south,09.5 to 20 mo,83,12,19,14,12,11,13,14,13
119002,SM,10,Male,Bachelor's degree or higher,Black,south,09.5 to 20 mo,75,19,17,13,10,12,13,10,16
119004,SM,29,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,74,13,11,14,12,13,14,10,13
119006,SM,14,Female,High school graduate (including GED),Black,south,09.5 to 20 mo,77,16,19,15,13,10,10,10,10
119026,SM,10,Male,Some college or associate degree,Black,south,09.5 to 20 mo,103,23,22,18,14,10,18,21,35
119043,SM,9,Female,High school graduate (including GED),White,south,07 to 10.5 mo,70,15,10,12,12,10,16,10,22
119045,SM,8,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,72,11,18,12,11,10,11,10,14
119048,SM,29,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,61,13,10,10,10,10,10,11,13
119055,SM,4,Female,Bachelor's degree or higher,Black,south,03.5 to 6 mo,85,18,22,15,14,10,10,14,10
119056,SM,4,Female,Some college or associate degree,White,south,03.5 to 6 mo,84,18,19,13,12,11,13,16,32
119057,SM,9,Female,Some college or associate degree,White,south,07 to 10.5 mo,106,11,22,12,18,16,20,18,18
119058,SM,6,Female,Some college or associate degree,MultiRacial,south,03.5 to 6 mo,121,13,24,14,22,16,23,22,19
119064,SM,6,Female,Some college or associate degree,Black,south,03.5 to 6 mo,84,18,19,17,14,11,10,13,11
119080,SM,5,Female,Some college or associate degree,Black,south,03.5 to 6 mo,87,16,17,12,15,15,11,17,25
119085,SM,11,Male,Some college or associate degree,Black,south,09.5 to 20 mo,109,25,21,18,20,11,20,19,22
119086,SM,5,Female,Some college or associate degree,Other,south,03.5 to 6 mo,79,10,20,10,13,10,15,11,10
119087,SM,18,Female,Bachelor's degree or higher,Hispanic,south,09.5 to 20 mo,101,22,18,17,16,17,18,15,16
119088,SM,6,Male,Bachelor's degree or higher,White,south,03.5 to 6 mo,80,12,20,12,13,10,14,11,16
119089,SM,5,Female,Bachelor's degree or higher,Hispanic,south,03.5 to 6 mo,62,18,12,10,10,10,10,10,10
119090,SM,8,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,77,13,13,10,13,15,15,11,17
119091,SM,4,Male,Some college or associate degree,Black,south,03.5 to 6 mo,73,14,16,12,10,11,12,12,10
119107,SM,12,Male,High school graduate (including GED),White,south,09.5 to 20 mo,93,15,12,16,17,15,16,17,11
119108,SM,25,Female,Bachelor's degree or higher,Hispanic,south,21 to 31.5 mo,67,17,12,10,11,11,12,11,12
119109,SM,26,Male,High school graduate (including GED),Black,south,21 to 31.5 mo,98,12,18,16,15,13,15,21,10
119110,SM,16,Female,Some college or associate degree,Black,south,09.5 to 20 mo,122,10,24,19,17,20,21,21,18
120001,SM,13,Male,Bachelor's degree or higher,White,west,09.5 to 20 mo,86,14,13,13,18,11,16,15,13
120004,SM,28,Female,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,93,21,14,18,17,15,14,15,13
120005,SM,18,Male,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,80,17,17,12,11,12,15,13,14
120006,SM,13,Female,Bachelor's degree or higher,Hispanic,west,09.5 to 20 mo,80,13,13,13,13,10,16,15,13
120008,SM,24,Male,Bachelor's degree or higher,MultiRacial,west,21 to 31.5 mo,94,16,17,15,16,17,16,13,10
120009,SM,15,Male,Some college or associate degree,MultiRacial,west,09.5 to 20 mo,103,13,20,19,16,14,21,13,14
120010,SM,19,Male,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,80,23,12,17,11,11,15,14,11
120011,SM,23,Female,Bachelor's degree or higher,Asian,west,21 to 31.5 mo,99,17,15,13,18,19,16,18,12
120013,SM,5,Male,Bachelor's degree or higher,Hispanic,west,03.5 to 6 mo,87,15,21,15,14,10,14,13,18
120014,SM,21,Male,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,81,13,16,13,16,12,12,12,12
126012,SM,7,Female,Bachelor's degree or higher,White,west,07 to 10.5 mo,98,19,23,15,19,12,16,13,22
126015,SM,7,Female,Bachelor's degree or higher,White,west,07 to 10.5 mo,82,10,23,14,12,10,12,11,21
126018,SM,10,Female,Bachelor's degree or higher,NativeHawPacIsl,west,09.5 to 20 mo,108,24,14,20,14,17,18,25,14
126020,SM,26,Male,Bachelor's degree or higher,White,west,21 to 31.5 mo,79,12,15,16,13,11,12,12,10
126034,SM,8,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,88,19,20,12,15,12,18,11,18
126043,SM,9,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,85,20,18,13,14,12,13,15,12
126051,SM,21,Female,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,83,15,14,17,15,13,14,10,10
126061,SM,26,Male,Some college or associate degree,White,south,21 to 31.5 mo,69,11,12,10,12,13,11,11,10
126062,SM,26,Male,Some college or associate degree,White,south,21 to 31.5 mo,70,11,14,11,11,12,11,11,11
126065,SM,16,Male,Bachelor's degree or higher,MultiRacial,south,09.5 to 20 mo,92,14,18,14,14,14,16,16,16
126066,SM,5,Male,Bachelor's degree or higher,White,west,03.5 to 6 mo,65,17,11,10,10,10,13,11,22
126078,SM,28,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,98,11,17,23,14,11,18,15,17
126079,SM,7,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,101,10,20,20,16,12,20,13,27
126082,SM,7,Male,Bachelor's degree or higher,White,west,07 to 10.5 mo,85,18,21,13,12,10,14,15,23
126083,SM,29,Male,Bachelor's degree or higher,White,west,21 to 31.5 mo,78,12,12,13,17,11,14,11,10
126084,SM,23,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,79,15,14,16,14,11,12,12,13
126107,SM,17,Male,Bachelor's degree or higher,Hispanic,west,09.5 to 20 mo,70,17,13,11,11,12,13,10,13
126111,SM,24,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,69,10,11,12,11,10,15,10,10
126130,SM,7,Female,Bachelor's degree or higher,White,south,07 to 10.5 mo,90,17,14,17,14,11,14,20,24
126136,SM,20,Male,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,79,12,11,15,12,12,16,13,12
126139,SM,5,Female,Bachelor's degree or higher,White,south,03.5 to 6 mo,89,17,22,14,15,11,13,14,25
126152,SM,16,Female,Bachelor's degree or higher,Hispanic,west,09.5 to 20 mo,93,14,16,14,14,18,17,14,19
126160,SM,15,Female,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,89,14,21,13,14,16,13,12,11
126177,SM,10,Female,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,99,21,21,16,15,10,20,17,21
126178,SM,6,Female,Bachelor's degree or higher,Hispanic,midwest,03.5 to 6 mo,86,11,26,11,14,12,12,11,14
126189,SM,10,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,95,19,15,15,16,12,20,17,21
126195,SM,30,Female,Bachelor's degree or higher,White,west,21 to 31.5 mo,78,12,16,12,11,14,12,13,10
126199,SM,25,Male,Bachelor's degree or higher,MultiRacial,west,21 to 31.5 mo,82,17,11,17,15,13,15,11,11
126209,SM,26,Male,Some college or associate degree,Hispanic,west,21 to 31.5 mo,92,17,13,19,16,16,17,11,10
126229,SM,25,Female,Bachelor's degree or higher,White,west,21 to 31.5 mo,88,12,16,19,16,12,12,13,11
126230,SM,5,Male,Bachelor's degree or higher,White,west,03.5 to 6 mo,101,16,20,19,16,15,16,15,27
126281,SM,11,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,80,14,17,13,13,13,12,12,14
126302,SM,28,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,95,20,15,20,17,13,15,15,11
126303,SM,5,Female,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,94,20,20,16,17,11,13,17,21
126308,SM,9,Female,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,78,13,16,13,13,10,14,12,16
126317,SM,30,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,94,18,18,17,14,17,16,12,11
126318,SM,6,Male,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,101,12,22,15,16,14,16,18,28
126324,SM,10,Male,Bachelor's degree or higher,Hispanic,northeast,09.5 to 20 mo,95,15,18,14,15,10,18,20,16
126326,SM,16,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,77,10,12,11,14,11,14,15,16
126333,SM,21,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,84,15,18,15,16,11,13,11,16
126334,SM,7,Female,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,81,13,20,13,10,10,13,15,25
126336,SM,8,Male,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,83,14,16,15,13,10,17,12,25
126363,SM,19,Male,Bachelor's degree or higher,White,west,09.5 to 20 mo,87,17,16,17,14,13,14,13,16
126370,SM,18,Female,Bachelor's degree or higher,Asian,west,09.5 to 20 mo,115,22,18,21,18,17,22,19,22
126372,SM,21,Male,Bachelor's degree or higher,White,northeast,21 to 31.5 mo,75,10,15,11,15,10,14,10,14
126394,SM,8,Male,Bachelor's degree or higher,Asian,west,07 to 10.5 mo,90,13,23,15,11,15,13,13,23
126398,SM,30,Female,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,90,13,16,20,18,10,14,12,10
126399,SM,8,Male,Bachelor's degree or higher,White,west,07 to 10.5 mo,81,18,14,13,14,14,13,13,14
131001,SM,11,Male,High school graduate (including GED),White,west,09.5 to 20 mo,75,19,13,11,13,14,13,11,10
131002,SM,13,Male,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,88,12,14,11,18,12,18,15,11
131003,SM,24,Female,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,71,12,12,13,11,14,11,10,11
131004,SM,6,Female,Bachelor's degree or higher,Hispanic,west,03.5 to 6 mo,86,15,22,14,14,10,14,12,23
131005,SM,16,Female,Bachelor's degree or higher,Hispanic,west,09.5 to 20 mo,91,14,16,17,18,10,17,13,13
131006,SM,20,Male,Some college or associate degree,White,west,09.5 to 20 mo,92,21,14,17,14,14,18,15,12
131010,SM,4,Female,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,104,10,27,16,15,10,18,18,30
131013,SM,29,Female,High school graduate (including GED),White,west,21 to 31.5 mo,73,11,13,14,12,13,10,11,10
131016,SM,5,Female,Some college or associate degree,White,west,03.5 to 6 mo,90,11,25,15,11,11,14,14,14
131018,SM,6,Female,Some college or associate degree,Hispanic,west,03.5 to 6 mo,88,10,25,13,15,10,13,12,16
131019,SM,11,Female,Some college or associate degree,Hispanic,west,09.5 to 20 mo,102,20,19,19,13,10,22,19,21
131020,SM,5,Female,Bachelor's degree or higher,Hispanic,west,03.5 to 6 mo,92,17,18,15,17,10,15,17,28
131022,SM,6,Female,Some college or associate degree,White,west,03.5 to 6 mo,103,11,22,16,19,14,15,17,10
131023,SM,7,Male,Some college or associate degree,White,west,07 to 10.5 mo,95,17,24,14,19,12,11,15,21
131024,SM,4,Male,Some college or associate degree,White,west,03.5 to 6 mo,107,16,24,18,18,12,17,18,23
131026,SM,24,Male,Some college or associate degree,White,west,21 to 31.5 mo,80,12,15,14,12,12,14,13,10
131027,SM,13,Male,High school graduate (including GED),White,west,09.5 to 20 mo,93,21,12,17,16,17,18,13,20
133002,SM,16,Female,Some college or associate degree,MultiRacial,west,09.5 to 20 mo,113,22,18,15,17,21,18,24,16
133004,SM,20,Male,High school graduate (including GED),MultiRacial,west,09.5 to 20 mo,109,21,21,19,21,16,17,15,17
133005,SM,21,Female,Some college or associate degree,MultiRacial,west,21 to 31.5 mo,63,12,12,10,10,10,11,10,10
133006,SM,17,Female,Some college or associate degree,White,west,09.5 to 20 mo,82,13,14,14,17,13,12,12,11
133007,SM,19,Female,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,94,20,21,20,13,11,14,15,17
133008,SM,19,Male,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,92,18,19,19,14,10,15,15,17
133010,SM,9,Male,Bachelor's degree or higher,MultiRacial,west,07 to 10.5 mo,72,15,14,12,12,11,13,10,15
133011,SM,10,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,109,23,16,17,18,22,18,18,26
133079,SM,30,Female,Some college or associate degree,MultiRacial,west,21 to 31.5 mo,110,18,15,17,19,23,20,16,13
134001,SM,20,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,74,16,12,14,10,11,14,13,10
134002,SM,10,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,84,19,14,15,11,11,19,14,16
134003,SM,17,Female,Bachelor's degree or higher,Black,south,09.5 to 20 mo,113,16,18,22,19,19,20,15,19
134007,SM,6,Female,Some college or associate degree,Other,west,03.5 to 6 mo,100,16,28,14,14,10,17,17,24
134009,SM,29,Female,Bachelor's degree or higher,White,northeast,21 to 31.5 mo,94,12,16,17,17,17,10,17,13
134010,SM,16,Female,Some college or associate degree,White,northeast,09.5 to 20 mo,99,20,18,18,14,18,20,11,21
134015,SM,21,Female,Bachelor's degree or higher,White,northeast,21 to 31.5 mo,93,18,18,16,15,12,15,17,15
134019,SM,20,Male,Bachelor's degree or higher,White,west,09.5 to 20 mo,68,18,10,10,10,14,13,11,11
134020,SM,6,Female,Bachelor's degree or higher,White,west,03.5 to 6 mo,87,21,19,15,14,10,16,13,13
134024,SM,24,Male,Bachelor's degree or higher,White,west,21 to 31.5 mo,71,18,12,14,11,11,12,11,10
136001,SM,19,Male,Bachelor's degree or higher,White,west,09.5 to 20 mo,84,20,15,16,14,10,16,13,14
136002,SM,12,Male,Some college or associate degree,Hispanic,west,09.5 to 20 mo,85,25,15,16,13,12,15,14,12
136003,SM,9,Female,Bachelor's degree or higher,White,west,07 to 10.5 mo,82,12,20,13,14,10,13,12,13
136004,SM,9,Female,Some college or associate degree,MultiRacial,west,07 to 10.5 mo,78,15,17,14,13,11,10,13,14
136006,SM,25,Male,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,101,18,19,17,17,17,18,13,12
136007,SM,19,Female,Bachelor's degree or higher,Hispanic,west,09.5 to 20 mo,70,16,11,11,14,12,11,11,10
136008,SM,5,Female,Bachelor's degree or higher,Asian,south,03.5 to 6 mo,87,13,20,13,15,11,15,13,18
136009,SM,4,Female,Some college or associate degree,White,west,03.5 to 6 mo,90,13,22,19,12,11,14,12,10
136010,SM,22,Female,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,79,14,18,11,10,15,13,12,10
136011,SM,22,Female,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,78,13,19,11,11,14,12,11,10
137001,SM,9,Male,Bachelor's degree or higher,Hispanic,midwest,07 to 10.5 mo,66,16,12,10,11,10,11,12,15
137002,SM,24,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,76,14,13,13,12,11,14,13,12
137020,SM,22,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,103,17,15,18,22,11,22,15,13
138001,SM,21,Male,Bachelor's degree or higher,Other,west,21 to 31.5 mo,75,19,14,11,11,12,16,11,14
138002,SM,13,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,89,16,18,14,15,11,15,16,15
138003,SM,16,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,94,20,18,18,17,12,17,12,15
138004,SM,4,Female,Some college or associate degree,White,west,03.5 to 6 mo,89,12,15,16,16,13,13,16,15
138005,SM,12,Female,Some college or associate degree,White,west,09.5 to 20 mo,103,17,17,16,17,18,18,17,16
138006,SM,13,Female,Bachelor's degree or higher,MultiRacial,west,09.5 to 20 mo,83,15,12,14,13,15,16,13,14
138007,SM,8,Female,Bachelor's degree or higher,Hispanic,west,07 to 10.5 mo,90,12,20,15,16,13,13,13,18
141001,SM,11,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,84,16,13,14,16,13,15,13,11
141002,SM,13,Female,Some college or associate degree,White,south,09.5 to 20 mo,81,19,14,14,12,13,14,14,14
141003,SM,26,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,90,15,20,18,13,12,15,12,13
141004,SM,18,Male,Bachelor's degree or higher,White,south,09.5 to 20 mo,84,11,14,15,14,14,16,11,10
141005,SM,13,Female,Bachelor's degree or higher,White,south,09.5 to 20 mo,102,14,19,18,19,13,18,15,12
141006,SM,23,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,88,19,17,15,14,12,16,14,13
141016,SM,9,Male,Bachelor's degree or higher,White,south,07 to 10.5 mo,105,14,23,14,18,17,19,14,24
141018,SM,26,Male,Bachelor's degree or higher,Hispanic,west,21 to 31.5 mo,79,14,14,14,12,13,15,11,11
141026,SM,24,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,65,16,11,10,11,11,12,10,11
141067,SM,25,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,92,11,17,18,15,14,15,13,13
141080,SM,29,Female,Bachelor's degree or higher,Hispanic,south,21 to 31.5 mo,95,11,20,22,14,14,12,13,11
141081,SM,26,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,77,19,15,14,13,11,12,12,13
