IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0031,q0033,q0034,q0036,q0037,q0039,q0040,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0056,q0057,q0058,q0060,q0061,q0063,q0064,q0065,q0066,q0069,q0071,q0072,q0073,q0074,q0075,q0076,q0079,q0080,q0081,q0084,q0086,q0087,q0088,q0090,q0091,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0105,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0129,q0131,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
141110,SM,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,67,15,10,12,13,11,10,11,11,41,47,38,45,48,42,39,46,43
141111,SM,30,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,2,3,2,2,2,2,2,1,3,2,2,2,2,2,1,2,1,1,3,1,3,3,3,2,2,2,1,2,2,2,3,1,2,1,2,1,2,1,2,2,3,3,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,3,2,2,1,2,3,2,101,21,17,22,17,18,14,13,21,59,58,59,64,59,58,56,54,62
141112,SM,30,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,3,1,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,67,17,10,11,13,12,10,11,12,41,52,38,42,48,45,39,46,46
141113,SM,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,1,2,1,3,1,2,1,2,1,1,1,2,3,3,3,3,3,2,3,3,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,1,2,1,2,2,2,1,2,2,1,2,1,1,1,3,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,4,3,3,2,2,1,2,3,2,107,15,26,19,18,15,15,14,23,61,47,70,59,60,52,58,56,65
141114,SM,37,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,3,2,2,2,2,2,3,3,3,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,92,14,16,24,15,13,13,11,11,56,45,57,65,55,48,54,46,43
141116,SM,32,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,11,13,14,13,12,10,10,10,45,36,51,50,48,45,39,39,37
141118,SM,40,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,3,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,3,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,85,17,13,15,17,16,12,12,15,53,52,51,52,59,54,51,51,53
141122,SM,32,31.00 to 40.99 years,Male,High school graduate (including GED),White,south,2,4,1,2,2,1,3,3,4,2,3,2,1,1,2,3,3,2,1,2,1,3,2,1,1,2,2,1,4,3,3,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,94,24,20,20,17,10,16,11,14,57,63,62,61,59,36,60,46,51
141183,SM,44,41.00 to 50.99 years,Female,Some college or associate degree,Hispanic,south,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,4,2,2,3,3,2,2,2,2,2,3,2,1,3,1,2,2,2,2,1,2,2,3,3,2,2,2,3,3,2,1,2,2,2,2,1,1,2,3,1,2,2,1,2,1,3,1,1,1,3,1,1,1,2,2,2,3,2,1,1,2,3,2,116,16,20,22,20,22,17,15,20,64,50,62,64,63,63,62,58,61
141195,SM,68,65.00 to 99.99 years,Female,Some college or associate degree,MultiRacial,south,3,3,2,3,2,3,2,3,3,2,2,1,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,3,3,3,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,2,2,3,3,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,107,26,20,19,15,17,16,20,21,61,66,62,59,55,56,60,63,62
