form,n,SPM2_row_label,SP2_col_label,r,p
,,SOC,Tc,0.16,0.54
,,VIS,Tc,0.504,0.039
,,HEA,Tc,0.512,0.035
,,TOU,Tc,0.774,0
,,TS,Tc,0.551,0.022
,,BOD,Tc,0.553,0.021
,,BAL,Tc,0.658,0.004
,,PLA,Tc,0.41,0.102
,,TOT,Tc,0.689,0.002
,,SOC,Mv,0.412,0.1
,,VIS,Mv,0.556,0.02
,,HEA,Mv,0.622,0.008
,,TOU,Mv,0.805,0
,,TS,Mv,0.604,0.01
,,BOD,Mv,0.58,0.015
,,BAL,Mv,0.659,0.004
,,PLA,Mv,0.518,0.033
,,TOT,Mv,0.739,0.001
,,SOC,Bh,0.591,0.012
,,VIS,Bh,0.331,0.194
,,HEA,Bh,0.681,0.003
,,TOU,Bh,0.778,0
,,TS,Bh,0.378,0.134
,,BOD,Bh,0.355,0.162
,,BAL,Bh,0.638,0.006
,,PLA,Bh,0.613,0.009
,,TOT,Bh,0.597,0.011
,,SOC,SkS,0.237,0.36
,,VIS,SkS,0.545,0.024
,,HEA,SkS,0.514,0.035
,,TOU,SkS,0.77,0
,,TS,SkS,0.559,0.02
,,BOD,SkS,0.562,0.019
,,BAL,SkS,0.63,0.007
,,PLA,SkS,0.444,0.074
,,TOT,SkS,0.694,0.002
,,SOC,AA,0.46,0.063
,,VIS,AA,0.406,0.106
,,HEA,AA,0.595,0.012
,,TOU,AA,0.702,0.002
,,TS,AA,0.316,0.216
,,BOD,AA,0.285,0.268
,,BAL,AA,0.647,0.005
,,PLA,AA,0.593,0.012
,,TOT,AA,0.555,0.021
,,SOC,SnS,0.351,0.167
,,VIS,SnS,0.479,0.052
,,HEA,SnS,0.614,0.009
,,TOU,SnS,0.794,0
,,TS,SnS,0.504,0.039
,,BOD,SnS,0.492,0.045
,,BAL,SnS,0.655,0.004
,,PLA,SnS,0.527,0.03
,,TOT,SnS,0.679,0.003
,,SOC,RB,0.744,0.001
,,VIS,RB,0.409,0.103
,,HEA,RB,0.778,0
,,TOU,RB,0.805,0
,,TS,RB,0.427,0.087
,,BOD,RB,0.398,0.113
,,BAL,RB,0.632,0.006
,,PLA,RB,0.702,0.002
,,TOT,RB,0.651,0.005
,,SOC,SF1,0.628,0.007
,,VIS,SF1,0.537,0.026
,,HEA,SF1,0.77,0
,,TOU,SF1,0.866,0
,,TS,SF1,0.542,0.025
,,BOD,SF1,0.545,0.024
,,BAL,SF1,0.672,0.003
,,PLA,SF1,0.664,0.004
,,TOT,SF1,0.751,0.001
,,SOC,SF2,0.222,0.391
,,VIS,SF2,0.475,0.054
,,HEA,SF2,0.481,0.051
,,TOU,SF2,0.746,0.001
,,TS,SF2,0.506,0.038
,,BOD,SF2,0.54,0.025
,,BAL,SF2,0.634,0.006
,,PLA,SF2,0.428,0.086
,,TOT,SF2,0.657,0.004
,,SOC,SF3,0.519,0.033
,,VIS,SF3,0.357,0.159
,,HEA,SF3,0.668,0.003
,,TOU,SF3,0.776,0
,,TS,SF3,0.363,0.152
,,BOD,SF3,0.382,0.13
,,BAL,SF3,0.68,0.003
,,PLA,SF3,0.633,0.006
,,TOT,SF3,0.611,0.009
,,SOC,SF4,0.445,0.074
,,VIS,SF4,0.447,0.072
,,HEA,SF4,0.583,0.014
,,TOU,SF4,0.657,0.004
,,TS,SF4,0.352,0.166
,,BOD,SF4,0.205,0.43
,,BAL,SF4,0.568,0.017
,,PLA,SF4,0.555,0.021
,,TOT,SF4,0.525,0.03
Child-512-School-Clin,149,SOC,Ad,0.564,0
,,VIS,Ad,0.465,0
,,HEA,Ad,0.587,0
,,TOU,Ad,0.515,0
,,TS,Ad,0.246,0.003
,,BOD,Ad,0.419,0
,,BAL,Ad,0.412,0
,,PLA,Ad,0.568,0
,,TOT,Ad,0.557,0
,,SOC,Vs,0.503,0
,,VIS,Vs,0.545,0
,,HEA,Vs,0.55,0
,,TOU,Vs,0.543,0
,,TS,Vs,0.274,0.001
,,BOD,Vs,0.394,0
,,BAL,Vs,0.414,0
,,PLA,Vs,0.68,0
,,TOT,Vs,0.574,0
,,SOC,Tc,0.525,0
,,VIS,Tc,0.411,0
,,HEA,Tc,0.571,0
,,TOU,Tc,0.617,0
,,TS,Tc,0.356,0
,,BOD,Tc,0.506,0
,,BAL,Tc,0.416,0
,,PLA,Tc,0.458,0
,,TOT,Tc,0.6,0
,,SOC,Mv,0.543,0
,,VIS,Mv,0.545,0
,,HEA,Mv,0.572,0
,,TOU,Mv,0.573,0
,,TS,Mv,0.286,0
,,BOD,Mv,0.619,0
,,BAL,Mv,0.554,0
,,PLA,Mv,0.571,0
,,TOT,Mv,0.665,0
,,SOC,Bh,0.74,0
,,VIS,Bh,0.453,0
,,HEA,Bh,0.54,0
,,TOU,Bh,0.594,0
,,TS,Bh,0.369,0
,,BOD,Bh,0.54,0
,,BAL,Bh,0.456,0
,,PLA,Bh,0.622,0
,,TOT,Bh,0.618,0
,,SOC,SkS,0.527,0
,,VIS,SkS,0.459,0
,,HEA,SkS,0.596,0
,,TOU,SkS,0.55,0
,,TS,SkS,0.324,0
,,BOD,SkS,0.587,0
,,BAL,SkS,0.371,0
,,PLA,SkS,0.473,0
,,TOT,SkS,0.609,0
,,SOC,AA,0.668,0
,,VIS,AA,0.386,0
,,HEA,AA,0.48,0
,,TOU,AA,0.579,0
,,TS,AA,0.367,0
,,BOD,AA,0.469,0
,,BAL,AA,0.45,0
,,PLA,AA,0.563,0
,,TOT,AA,0.568,0
,,SOC,SnS,0.573,0
,,VIS,SnS,0.412,0
,,HEA,SnS,0.572,0
,,TOU,SnS,0.592,0
,,TS,SnS,0.379,0
,,BOD,SnS,0.495,0
,,BAL,SnS,0.403,0
,,PLA,SnS,0.499,0
,,TOT,SnS,0.596,0
,,SOC,RB,0.602,0
,,VIS,RB,0.633,0
,,HEA,RB,0.591,0
,,TOU,RB,0.609,0
,,TS,RB,0.25,0.002
,,BOD,RB,0.505,0
,,BAL,RB,0.565,0
,,PLA,RB,0.754,0
,,TOT,RB,0.667,0
,,SOC,SF1,0.615,0
,,VIS,SF1,0.577,0
,,HEA,SF1,0.613,0
,,TOU,SF1,0.599,0
,,TS,SF1,0.257,0.002
,,BOD,SF1,0.593,0
,,BAL,SF1,0.513,0
,,PLA,SF1,0.652,0
,,TOT,SF1,0.668,0
,,SOC,SF2,0.497,0
,,VIS,SF2,0.447,0
,,HEA,SF2,0.559,0
,,TOU,SF2,0.558,0
,,TS,SF2,0.364,0
,,BOD,SF2,0.487,0
,,BAL,SF2,0.381,0
,,PLA,SF2,0.485,0
,,TOT,SF2,0.587,0
,,SOC,SF3,0.661,0
,,VIS,SF3,0.446,0
,,HEA,SF3,0.597,0
,,TOU,SF3,0.623,0
,,TS,SF3,0.382,0
,,BOD,SF3,0.521,0
,,BAL,SF3,0.452,0
,,PLA,SF3,0.585,0
,,TOT,SF3,0.631,0
,,SOC,SF4,0.615,0
,,VIS,SF4,0.454,0
,,HEA,SF4,0.45,0
,,TOU,SF4,0.555,0
,,TS,SF4,0.303,0
,,BOD,SF4,0.405,0
,,BAL,SF4,0.499,0
,,PLA,SF4,0.642,0
,,TOT,SF4,0.557,0
