form,n,SPM2_row_label,SP2_col_label,r,p
,,TOU,Ad,0.511,0.074
,,TS,Ad,0.679,0.011
,,BOD,Ad,0.572,0.041
,,BAL,Ad,0.384,0.195
,,PLA,Ad,0.634,0.02
,,TOT,Ad,0.793,0.001
,,SOC,Vs,0.507,0.077
,,VIS,Vs,0.261,0.388
,,HEA,Vs,0.306,0.309
,,TOU,Vs,0.596,0.032
,,TS,Vs,0.586,0.035
,,BOD,Vs,0.586,0.035
,,BAL,Vs,0.482,0.095
,,PLA,Vs,0.764,0.002
,,TOT,Vs,0.685,0.01
,,SOC,Tc,0.624,0.023
,,VIS,Tc,0.432,0.141
,,HEA,Tc,0.412,0.162
,,TOU,Tc,0.373,0.209
,,TS,Tc,0.54,0.057
,,BOD,Tc,0.35,0.241
,,BAL,Tc,0.336,0.262
,,PLA,Tc,0.508,0.076
,,TOT,Tc,0.63,0.021
,,SOC,Mv,0.686,0.01
,,VIS,Mv,0.353,0.236
,,HEA,Mv,0.6,0.03
,,TOU,Mv,0.531,0.062
,,TS,Mv,0.483,0.094
,,BOD,Mv,0.708,0.007
,,BAL,Mv,0.55,0.051
,,PLA,Mv,0.757,0.003
,,TOT,Mv,0.797,0.001
,,SOC,Bh,0.776,0.002
,,VIS,Bh,0.363,0.222
,,HEA,Bh,0.639,0.019
,,TOU,Bh,0.349,0.243
,,TS,Bh,0.482,0.096
,,BOD,Bh,0.698,0.008
,,BAL,Bh,0.556,0.048
,,PLA,Bh,0.674,0.011
,,TOT,Bh,0.777,0.002
,,SOC,SkS,0.701,0.008
,,VIS,SkS,0.19,0.535
,,HEA,SkS,0.624,0.023
,,TOU,SkS,0.478,0.098
,,TS,SkS,0.584,0.036
,,BOD,SkS,0.771,0.002
,,BAL,SkS,0.454,0.119
,,PLA,SkS,0.726,0.005
,,TOT,SkS,0.788,0.001
,,SOC,AA,0.626,0.022
,,VIS,AA,0.349,0.242
,,HEA,AA,0.444,0.129
,,TOU,AA,0.307,0.307
,,TS,AA,0.66,0.014
,,BOD,AA,0.445,0.127
,,BAL,AA,0.33,0.271
,,PLA,AA,0.63,0.021
,,TOT,AA,0.67,0.012
,,SOC,SnS,0.404,0.171
,,VIS,SnS,0.226,0.457
,,HEA,SnS,0.766,0.002
,,TOU,SnS,0.24,0.429
,,TS,SnS,0.624,0.023
,,BOD,SnS,0.533,0.06
,,BAL,SnS,0.254,0.403
,,PLA,SnS,0.449,0.124
,,TOT,SnS,0.73,0.005
,,SOC,RB,0.688,0.009
,,VIS,RB,0.473,0.103
,,HEA,RB,0.436,0.137
,,TOU,RB,0.697,0.008
,,TS,RB,0.48,0.097
,,BOD,RB,0.631,0.021
,,BAL,RB,0.664,0.013
,,PLA,RB,0.844,0
,,TOT,RB,0.801,0.001
,,SOC,SF1,0.714,0.006
,,VIS,SF1,0.408,0.167
,,HEA,SF1,0.579,0.038
,,TOU,SF1,0.605,0.028
,,TS,SF1,0.504,0.079
,,BOD,SF1,0.718,0.006
,,BAL,SF1,0.632,0.021
,,PLA,SF1,0.802,0.001
,,TOT,SF1,0.839,0
,,SOC,SF2,0.404,0.17
,,VIS,SF2,0.199,0.515
,,HEA,SF2,0.687,0.009
,,TOU,SF2,0.35,0.241
,,TS,SF2,0.721,0.005
,,BOD,SF2,0.592,0.033
,,BAL,SF2,0.267,0.377
,,PLA,SF2,0.528,0.064
,,TOT,SF2,0.766,0.002
,,SOC,SF3,0.67,0.012
,,VIS,SF3,0.332,0.267
,,HEA,SF3,0.621,0.024
,,TOU,SF3,0.42,0.153
,,TS,SF3,0.518,0.07
,,BOD,SF3,0.575,0.04
,,BAL,SF3,0.457,0.117
,,PLA,SF3,0.682,0.01
,,TOT,SF3,0.746,0.003
,,SOC,SF4,0.65,0.016
,,VIS,SF4,0.4,0.175
,,HEA,SF4,0.377,0.204
,,TOU,SF4,0.401,0.174
,,TS,SF4,0.676,0.011
,,BOD,SF4,0.473,0.103
,,BAL,SF4,0.388,0.19
,,PLA,SF4,0.698,0.008
,,TOT,SF4,0.699,0.008
Teen-1221-School-Clin,43,SOC,Ad,0.511,0
,,VIS,Ad,0.623,0
,,HEA,Ad,0.651,0
,,TOU,Ad,0.597,0
,,TS,Ad,0.403,0.007
,,BOD,Ad,0.758,0
,,BAL,Ad,0.529,0
,,PLA,Ad,0.726,0
,,TOT,Ad,0.702,0
,,SOC,Vs,0.494,0.001
,,VIS,Vs,0.678,0
,,HEA,Vs,0.619,0
,,TOU,Vs,0.612,0
,,TS,Vs,0.447,0.003
,,BOD,Vs,0.702,0
,,BAL,Vs,0.538,0
,,PLA,Vs,0.714,0
,,TOT,Vs,0.707,0
,,SOC,Tc,0.505,0.001
,,VIS,Tc,0.651,0
,,HEA,Tc,0.627,0
,,TOU,Tc,0.751,0
,,TS,Tc,0.529,0
,,BOD,Tc,0.812,0
,,BAL,Tc,0.533,0
,,PLA,Tc,0.634,0
,,TOT,Tc,0.766,0
,,SOC,Mv,0.459,0.002
,,VIS,Mv,0.61,0
,,HEA,Mv,0.618,0
,,TOU,Mv,0.633,0
,,TS,Mv,0.394,0.009
,,BOD,Mv,0.768,0
,,BAL,Mv,0.585,0
,,PLA,Mv,0.635,0
,,TOT,Mv,0.707,0
,,SOC,Bh,0.53,0
,,VIS,Bh,0.611,0
,,HEA,Bh,0.685,0
,,TOU,Bh,0.717,0
,,TS,Bh,0.549,0
,,BOD,Bh,0.733,0
,,BAL,Bh,0.555,0
,,PLA,Bh,0.636,0
,,TOT,Bh,0.757,0
,,SOC,SkS,0.469,0.002
,,VIS,SkS,0.654,0
,,HEA,SkS,0.57,0
,,TOU,SkS,0.616,0
,,TS,SkS,0.373,0.014
,,BOD,SkS,0.756,0
,,BAL,SkS,0.529,0
,,PLA,SkS,0.607,0
,,TOT,SkS,0.687,0
,,SOC,AA,0.478,0.001
,,VIS,AA,0.619,0
,,HEA,AA,0.686,0
,,TOU,AA,0.733,0
,,TS,AA,0.593,0
,,BOD,AA,0.718,0
,,BAL,AA,0.527,0
,,PLA,AA,0.678,0
,,TOT,AA,0.763,0
,,SOC,SnS,0.478,0.001
,,VIS,SnS,0.613,0
,,HEA,SnS,0.676,0
,,TOU,SnS,0.639,0
,,TS,SnS,0.503,0.001
,,BOD,SnS,0.786,0
,,BAL,SnS,0.61,0
,,PLA,SnS,0.635,0
,,TOT,SnS,0.75,0
,,SOC,RB,0.594,0
,,VIS,RB,0.576,0
,,HEA,RB,0.544,0
,,TOU,RB,0.627,0
,,TS,RB,0.45,0.002
,,BOD,RB,0.631,0
,,BAL,RB,0.53,0
,,PLA,RB,0.679,0
,,TOT,RB,0.657,0
,,SOC,SF1,0.596,0
,,VIS,SF1,0.635,0
,,HEA,SF1,0.541,0
,,TOU,SF1,0.651,0
,,TS,SF1,0.425,0.004
,,BOD,SF1,0.71,0
,,BAL,SF1,0.534,0
,,PLA,SF1,0.672,0
,,TOT,SF1,0.684,0
,,SOC,SF2,0.519,0
,,VIS,SF2,0.617,0
,,HEA,SF2,0.59,0
,,TOU,SF2,0.625,0
,,TS,SF2,0.496,0.001
,,BOD,SF2,0.721,0
,,BAL,SF2,0.654,0
,,PLA,SF2,0.562,0
,,TOT,SF2,0.721,0
,,SOC,SF3,0.56,0
,,VIS,SF3,0.642,0
,,HEA,SF3,0.706,0
,,TOU,SF3,0.678,0
,,TS,SF3,0.549,0
,,BOD,SF3,0.732,0
,,BAL,SF3,0.579,0
,,PLA,SF3,0.688,0
,,TOT,SF3,0.765,0
,,SOC,SF4,0.438,0.003
,,VIS,SF4,0.569,0
,,HEA,SF4,0.636,0
,,TOU,SF4,0.705,0
,,TS,SF4,0.584,0
,,BOD,SF4,0.651,0
,,BAL,SF4,0.476,0.001
,,PLA,SF4,0.711,0
,,TOT,SF4,0.713,0
