form,n,SPM2_row_label,SP2_col_label,r,p
,,TOU,SSK,-0.053,0.65
,,TS,SSK,0.168,0.147
,,BOD,SSK,0.025,0.829
,,BAL,SSK,0.006,0.962
,,PLA,SSK,-0.072,0.536
,,TOT,SSK,0.024,0.84
,,SOC,SS,0.544,0
,,VIS,SS,0.646,0
,,HEA,SS,0.73,0
,,TOU,SS,0.543,0
,,TS,SS,0.395,0
,,BOD,SS,0.454,0
,,BAL,SS,0.667,0
,,PLA,SS,0.349,0.002
,,TOT,SS,0.761,0
,,SOC,SA,0.536,0
,,VIS,SA,0.456,0
,,HEA,SA,0.627,0
,,TOU,SA,0.45,0
,,TS,SA,0.448,0
,,BOD,SA,0.307,0.007
,,BAL,SA,0.551,0
,,PLA,SA,0.186,0.108
,,TOT,SA,0.627,0
