IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
105046,SM,24,Female,Bachelor's degree or higher,MultiRacial,midwest,1,1,1,2,2,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,4,2,1,1,3,1,1,2,1,1,2,2,2,1,1,1,4,1,2,1,1,2,2,1,2,1,4,2,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,11 to 31.5 mo,90,15,11,16,15,16,19,13,14,52,46,37,52,54,52,71,46,49
105047,SM,24,Male,Bachelor's degree or higher,MultiRacial,midwest,2,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,3,2,1,1,3,1,1,2,1,1,2,2,2,1,1,1,3,1,2,1,1,2,2,1,2,1,4,2,2,1,2,2,1,1,2,1,1,1,2,2,1,3,1,2,2,2,1,1,1,1,2,11 to 31.5 mo,89,15,11,15,15,15,19,14,16,51,46,37,49,54,50,71,49,54
105048,SM,24,Male,Bachelor's degree or higher,MultiRacial,midwest,2,2,1,1,2,3,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,3,1,1,1,3,1,1,2,1,1,2,2,1,1,1,1,3,1,2,1,1,2,2,1,3,1,4,2,2,1,2,2,1,1,2,1,1,1,2,2,1,3,1,2,2,2,1,1,1,1,2,11 to 31.5 mo,89,17,12,15,14,14,20,14,16,51,51,40,49,51,47,73,49,54
105052,SM,29,Male,Some college or associate degree,White,midwest,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1,2,3,2,1,2,3,1,1,3,2,1,2,3,2,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,3,2,3,1,1,2,2,2,2,1,2,1,2,2,11 to 31.5 mo,96,16,11,14,19,20,13,19,17,55,48,37,46,65,62,53,63,56
105053,SM,23,Female,Bachelor's degree or higher,White,midwest,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,11 to 31.5 mo,71,15,10,12,12,16,11,10,14,39,46,33,40,44,52,45,34,49
105059,SM,19,Male,Bachelor's degree or higher,White,midwest,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,11 to 31.5 mo,72,14,11,13,11,12,12,13,10,40,42,37,43,40,40,49,46,36
105062,SM,8,Male,Bachelor's degree or higher,White,south,3,3,1,2,1,1,2,1,1,1,1,1,2,4,4,2,2,1,1,2,1,2,2,1,1,2,1,1,2,2,3,1,1,2,1,3,1,1,1,2,2,4,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,2,1,1,1,2,3,2,1,1,2,1,2,03.5 to 10 mo,97,16,20,15,16,18,13,15,16,56,48,61,49,57,57,53,52,54
105071,SM,23,Female,Bachelor's degree or higher,White,midwest,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,2,2,2,1,1,1,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,11 to 31.5 mo,80,12,14,17,10,16,11,12,14,46,36,47,54,35,52,45,42,49
105072,SM,21,Female,Bachelor's degree or higher,White,midwest,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,2,2,3,4,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,11 to 31.5 mo,90,11,14,20,13,16,10,17,12,52,32,47,61,47,52,40,58,43
105074,SM,16,Male,Bachelor's degree or higher,White,northeast,2,2,1,1,2,2,1,2,2,2,1,1,2,4,2,2,1,1,1,2,2,2,2,2,1,2,1,1,3,3,2,2,2,2,1,2,2,2,2,1,2,4,2,2,3,3,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,3,1,2,1,2,1,1,2,1,2,3,1,1,1,1,2,11 to 31.5 mo,104,17,17,19,18,23,12,15,15,60,51,55,59,63,67,49,52,51
