IDNumber,AgeInMonths,AgeGroup,Gender,ParentHighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
118043,26,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,northeast,70,13,12,10,10,12,16,10,10,38,43,40,34,34,47,53,36,41
118054,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,70,14,13,15,10,10,11,11,11,38,46,43,51,34,39,36,40,44
118055,19,10.00 to 30.99 months,Male,Some college or associate degree,White,south,86,15,13,15,17,15,13,13,12,50,49,43,51,59,58,44,48,47
118046,16,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,94,17,16,15,16,13,18,16,17,56,54,53,51,56,50,60,58,60
105004,25,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,90,15,13,16,18,14,15,14,10,53,49,43,54,62,54,50,51,41
105001,26,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,74,11,13,14,12,11,13,11,10,41,37,43,47,42,43,44,40,41
105005,15,10.00 to 30.99 months,Female,Bachelor's degree or higher,MultiRacial,midwest,89,10,17,18,16,12,12,14,10,52,34,56,59,56,47,40,51,41
105017,30,NA,Female,Some college or associate degree,White,midwest,84,15,12,19,16,11,13,13,10,49,49,40,62,56,43,44,48,41
105015,24,10.00 to 30.99 months,Female,Some college or associate degree,Black,midwest,81,11,15,15,15,11,15,10,10,46,37,50,51,52,43,50,36,41
105018,27,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,75,12,12,13,14,11,14,11,10,42,40,40,44,49,43,47,40,41
118040,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,83,15,13,17,15,12,12,14,12,48,49,43,56,52,47,40,51,47
118071,15,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,northeast,89,14,15,13,16,16,13,16,10,52,46,50,44,56,61,44,58,41
118042,19,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,86,15,14,14,14,17,15,12,13,50,49,47,47,49,64,50,44,49
118074,29,10.00 to 30.99 months,Female,Some college or associate degree,White,south,100,14,18,20,17,16,14,15,10,60,46,58,65,59,61,47,55,41
118035,27,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,107,18,17,20,21,14,18,17,14,64,56,56,65,71,54,60,61,52
118067,17,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,NA,80,16,16,16,12,10,14,12,10,46,51,53,54,42,39,47,44,41
105014,23,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,82,12,14,16,14,14,13,11,13,47,40,47,54,49,54,44,40,49
105010,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,91,13,16,16,14,15,15,15,10,54,43,53,54,49,58,50,55,41
105024,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,98,14,18,17,13,16,19,15,14,58,46,58,56,46,61,63,55,52
105039,20,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,74,12,12,15,10,12,14,11,12,41,40,40,51,34,47,47,40,47
105009,30,NA,Male,Bachelor's degree or higher,White,midwest,81,14,13,11,16,12,16,13,10,46,46,43,37,56,47,53,48,41
105045,13,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,south,70,12,12,11,10,11,13,13,10,38,40,40,37,34,43,44,48,41
105037,21,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,82,20,14,14,11,14,15,14,13,47,61,47,47,38,54,50,51,49
131002,13,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,west,88,12,14,11,18,12,18,15,11,51,40,47,37,62,47,60,55,44
105053,23,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,74,17,14,11,12,10,12,15,18,41,54,47,37,42,39,40,55,62
118075,11,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,99,17,18,16,16,14,19,16,23,59,54,58,54,56,54,63,58,73
105052,29,10.00 to 30.99 months,Male,Some college or associate degree,White,midwest,91,14,17,21,15,16,11,11,10,54,46,56,67,52,61,36,40,41
118058,17,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,87,15,16,12,17,12,17,13,12,51,49,53,41,59,47,57,48,47
118049,17,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,71,12,11,12,12,11,14,11,10,39,40,37,41,42,43,47,40,41
133001,29,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,108,14,22,23,18,17,13,15,11,65,46,69,72,62,64,44,55,44
118079,11,10.00 to 30.99 months,Male,Some college or associate degree,White,midwest,79,20,18,12,13,10,13,13,14,45,61,58,41,46,39,44,48,52
105048,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,midwest,69,27,10,11,12,13,13,10,13,37,75,33,37,42,50,44,36,49
105033,15,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,75,16,12,11,13,11,14,14,11,42,51,40,37,46,43,47,51,44
105047,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,midwest,65,17,10,10,11,11,11,12,10,34,54,33,34,38,43,36,44,41
118070,14,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,100,19,18,16,16,17,17,16,19,60,59,58,54,56,64,57,58,64
105025,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,112,21,18,19,21,19,18,17,11,67,64,58,62,71,71,60,61,44
131006,20,10.00 to 30.99 months,Male,Some college or associate degree,White,west,92,21,14,17,14,14,18,15,12,54,64,47,56,49,54,60,55,47
105046,24,10.00 to 30.99 months,Female,Bachelor's degree or higher,MultiRacial,midwest,63,16,11,10,11,10,11,10,10,32,51,37,34,38,39,36,36,41
137004,28,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,80,17,13,15,13,12,13,14,11,46,54,43,51,46,47,44,51,44
118052,25,10.00 to 30.99 months,Female,Some college or associate degree,White,south,72,10,10,15,11,10,14,12,10,40,34,33,51,38,39,47,44,41
133002,16,10.00 to 30.99 months,Female,Some college or associate degree,MultiRacial,west,113,22,18,15,17,21,18,24,16,68,66,58,51,59,75,60,75,57
134002,10,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,84,19,14,15,11,11,19,14,16,49,59,47,51,38,43,63,51,57
134001,20,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,74,16,12,14,10,11,14,13,10,41,51,40,47,34,43,47,48,41
105074,16,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,northeast,84,16,16,13,12,13,17,13,11,49,51,53,44,42,50,57,48,44
133005,21,10.00 to 30.99 months,Female,Some college or associate degree,MultiRacial,west,63,12,12,10,10,10,11,10,10,32,40,40,34,34,39,36,36,41
133004,20,10.00 to 30.99 months,Male,High school graduate (including GED),MultiRacial,west,109,21,21,19,21,16,17,15,17,65,64,67,62,71,61,57,55,60
118082,11,10.00 to 30.99 months,Male,Some college or associate degree,White,midwest,76,19,17,12,12,10,14,11,15,43,59,56,41,42,39,47,40,55
105059,19,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,70,15,10,11,13,10,14,12,11,38,49,33,37,46,39,47,44,44
105083,26,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,88,16,14,15,14,17,14,14,14,51,51,47,51,49,64,47,51,52
105075,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,86,14,15,14,18,12,16,11,13,50,46,50,47,62,47,53,40,49
105076,23,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,south,105,16,21,19,19,17,17,12,10,63,51,67,62,65,64,57,44,41
131005,16,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,91,14,16,17,18,10,17,13,13,54,46,53,56,62,39,57,48,49
133008,19,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,west,92,18,19,19,14,10,15,15,17,54,56,61,62,49,39,50,55,60
119001,20,10.00 to 30.99 months,Female,Did not complete high school (no diploma),Black,south,83,12,19,14,12,11,13,14,13,48,40,61,47,42,43,44,51,49
133007,19,10.00 to 30.99 months,Female,Bachelor's degree or higher,MultiRacial,west,94,20,21,20,13,11,14,15,17,56,61,67,65,46,43,47,55,60
105071,23,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,75,11,17,13,10,13,11,11,11,42,37,56,44,34,50,36,40,44
119006,12,NA,Female,High school graduate (including GED),Black,south,87,16,22,13,19,10,12,11,10,51,51,69,44,65,39,40,40,41
119004,29,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,74,13,11,14,12,13,14,10,13,41,43,37,47,42,50,47,36,49
105085,16,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,79,14,12,13,16,13,13,12,13,45,46,40,44,56,50,44,44,49
119002,10,10.00 to 30.99 months,Male,Bachelor's degree or higher,Black,south,75,19,17,13,10,12,13,10,16,42,59,56,44,34,47,44,36,57
131011,29,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,86,14,14,16,14,14,14,14,11,50,46,47,54,49,54,47,51,44
105102,25,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,76,11,19,12,11,12,12,10,10,43,37,61,41,38,47,40,36,41
105094,20,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,74,13,13,13,13,14,11,10,11,41,43,43,44,46,54,36,36,44
105092,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,south,73,14,12,14,11,11,14,11,10,40,46,40,47,38,43,47,40,41
105088,28,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,61,11,10,11,10,10,10,10,10,31,37,33,37,34,39,32,36,41
119026,10,10.00 to 30.99 months,Male,Some college or associate degree,Black,south,103,23,22,18,14,10,18,21,35,62,68,69,59,49,39,60,73,75
118011,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,75,12,13,13,12,11,13,13,13,42,40,43,44,42,43,44,48,49
105106,23,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,68,11,14,11,11,10,12,10,11,37,37,47,37,38,39,40,36,44
119003,14,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,98,14,15,17,17,16,17,16,12,58,46,50,56,59,61,57,58,47
105100,10,10.00 to 30.99 months,Female,Bachelor's degree or higher,Black,midwest,74,18,12,11,11,10,15,15,15,41,56,40,37,38,39,50,55,55
131013,29,10.00 to 30.99 months,Female,High school graduate (including GED),White,west,73,11,13,14,12,13,10,11,10,40,37,43,47,42,50,32,40,41
137020,22,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,103,17,15,18,22,11,22,15,13,62,54,50,59,74,43,71,55,49
133079,30,NA,Female,Some college or associate degree,MultiRacial,west,110,18,15,17,19,23,20,16,13,66,56,50,56,65,75,65,58,49
126193,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,101,16,23,16,18,15,13,16,14,60,51,72,54,62,58,44,58,52
138001,21,10.00 to 30.99 months,Male,Bachelor's degree or higher,Other,west,75,19,14,11,11,12,16,11,14,42,59,47,37,38,47,53,40,52
118081,24,10.00 to 30.99 months,Female,Bachelor's degree or higher,Black,south,77,21,15,12,14,11,13,12,10,43,64,50,41,49,43,44,44,41
138002,13,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,89,16,18,14,15,11,15,16,15,52,51,58,47,52,43,50,58,55
138005,11,10.00 to 30.99 months,Female,Some college or associate degree,White,west,101,17,16,17,15,20,15,18,22,60,54,53,56,52,74,50,64,71
126177,10,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,99,21,21,16,15,10,20,17,21,59,64,67,54,52,39,65,61,69
105099,22,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,83,17,13,16,13,13,15,13,12,48,54,43,54,46,50,50,48,47
136001,18,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,82,16,15,16,14,11,15,11,14,47,51,50,54,49,43,50,40,52
133011,10,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,109,23,16,17,18,22,18,18,26,65,68,53,56,62,75,60,64,75
126189,10,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,95,19,15,15,16,12,20,17,21,56,59,50,51,56,47,65,61,69
136002,12,10.00 to 30.99 months,Male,Some college or associate degree,Hispanic,west,85,25,15,16,13,12,15,14,12,49,72,50,54,46,47,50,51,47
106013,29,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,71,15,11,16,11,11,12,10,10,39,49,37,54,38,43,40,36,41
133006,17,10.00 to 30.99 months,Female,Some college or associate degree,White,west,82,13,14,14,17,13,12,12,11,47,43,47,47,59,50,40,44,44
106004,18,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,94,12,16,12,16,12,19,19,18,56,40,53,41,56,47,63,67,62
126107,17,10.00 to 30.99 months,Male,Bachelor's degree or higher,Hispanic,west,70,17,13,11,11,12,13,10,13,38,54,43,37,38,47,44,36,49
126018,10,10.00 to 30.99 months,Female,Bachelor's degree or higher,NativeHawPacIsl,west,108,24,14,20,14,17,18,25,14,65,70,47,65,49,64,60,75,52
126162,13,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,95,15,16,19,16,12,17,15,15,56,49,53,62,56,47,57,55,55
126158,20,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,84,14,16,15,12,11,15,15,10,49,46,53,51,42,43,50,55,41
126112,15,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,82,15,17,15,13,11,16,10,10,47,49,56,51,46,43,53,36,41
126078,28,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,98,11,17,23,14,11,18,15,17,58,37,56,72,49,43,60,55,60
126083,29,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,78,12,12,13,17,11,14,11,10,44,40,40,44,59,43,47,40,41
136006,25,10.00 to 30.99 months,Male,Bachelor's degree or higher,Hispanic,west,101,18,19,17,17,17,18,13,12,60,56,61,56,59,64,60,48,47
126152,16,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,93,14,16,14,14,18,17,14,19,55,46,53,47,49,67,57,51,64
126142,18,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,87,17,16,15,13,13,14,16,13,51,54,53,51,46,50,47,58,49
105002,16,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,93,17,17,19,14,13,15,15,11,55,54,56,62,49,50,50,55,44
105114,12,10.00 to 30.99 months,Male,Some college or associate degree,White,midwest,101,16,19,18,16,15,18,15,15,60,51,61,59,56,58,60,55,55
134009,29,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,northeast,94,12,16,17,17,17,10,17,13,56,40,53,56,59,64,32,61,49
105089,11,10.00 to 30.99 months,Female,Some college or associate degree,White,midwest,101,15,21,18,13,12,19,18,31,60,49,67,59,46,47,63,64,75
105090,11,10.00 to 30.99 months,Female,Bachelor's degree or higher,MultiRacial,midwest,99,19,15,19,18,13,15,19,19,59,59,50,62,62,50,50,67,64
105072,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,81,15,17,17,10,13,11,13,14,46,49,56,56,34,50,36,48,52
131001,11,10.00 to 30.99 months,Male,High school graduate (including GED),White,west,75,19,13,11,13,14,13,11,10,42,59,43,37,46,54,44,40,41
131019,11,10.00 to 30.99 months,Female,Some college or associate degree,Hispanic,west,102,20,19,19,13,10,22,19,21,61,61,61,62,46,39,71,67,69
105116,25,10.00 to 30.99 months,Female,Some college or associate degree,White,midwest,92,12,18,18,15,11,17,13,11,54,40,58,59,52,43,57,48,44
106006,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,midwest,77,12,13,13,13,12,12,14,17,43,40,43,44,46,47,40,51,60
137031,10,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,101,26,24,14,13,10,18,22,35,60,74,74,47,46,39,60,75,75
138003,16,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,94,20,18,18,17,12,17,12,15,56,61,58,59,59,47,57,44,55
131003,23,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,70,15,13,12,10,13,12,10,11,38,49,43,41,34,50,40,36,44
137016,13,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,80,18,15,12,13,12,14,14,13,46,56,50,41,46,47,47,51,49
126195,30,NA,Female,Bachelor's degree or higher,White,west,78,12,16,12,11,14,12,13,10,44,40,53,41,38,54,40,48,41
120006,13,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,80,13,13,13,13,10,16,15,13,46,43,43,44,46,39,53,55,49
120014,21,10.00 to 30.99 months,Male,Bachelor's degree or higher,Hispanic,west,81,13,16,13,16,12,12,12,12,46,43,53,44,56,47,40,44,47
134015,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,northeast,93,18,18,16,15,12,15,17,15,55,56,58,54,52,47,50,61,55
126020,26,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,79,12,15,16,13,11,12,12,10,45,40,50,54,46,43,40,44,41
136010,22,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,79,14,18,11,10,15,13,12,10,45,46,58,37,34,58,44,44,41
126084,23,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,79,15,14,16,14,11,12,12,13,45,49,47,54,49,43,40,44,49
136011,22,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,78,13,19,11,11,14,12,11,10,44,43,61,37,38,54,40,40,41
126199,25,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,west,82,17,11,17,15,13,15,11,11,47,54,37,56,52,50,50,40,44
106003,27,10.00 to 30.99 months,Male,Bachelor's degree or higher,Hispanic,midwest,95,11,16,18,19,13,14,15,12,56,37,53,59,65,50,47,55,47
126160,15,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,89,14,21,13,14,16,13,12,11,52,46,67,44,49,61,44,44,44
120005,18,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,west,80,17,17,12,11,12,15,13,14,46,54,56,41,38,47,50,48,52
126136,20,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,west,79,12,11,15,12,12,16,13,12,45,40,37,51,42,47,53,48,47
106018,30,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,67,16,10,10,11,13,13,10,10,36,51,33,34,38,50,44,36,41
126065,16,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,south,92,14,18,14,14,14,16,16,16,54,46,58,47,49,54,53,58,57
126051,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,83,15,14,17,15,13,14,10,10,48,49,47,56,52,50,47,36,41
126209,26,10.00 to 30.99 months,Male,Some college or associate degree,Hispanic,west,92,17,13,19,16,16,17,11,10,54,54,43,62,56,61,57,40,41
120001,13,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,86,14,13,13,18,11,16,15,13,50,46,43,44,62,43,53,55,49
126166,17,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,79,14,12,11,14,10,18,14,14,45,46,40,37,49,39,60,51,52
119048,29,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,61,13,10,10,10,10,10,11,13,31,43,33,34,34,39,32,40,49
105120,15,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,71,10,10,12,11,12,14,12,10,39,34,33,41,38,47,47,44,41
136005,25,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,105,11,26,19,19,14,13,14,17,63,37,75,62,65,54,44,51,60
131021,12,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,100,18,20,19,16,10,18,17,22,60,56,64,62,56,39,60,61,71
120008,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,west,94,16,17,15,16,17,16,13,10,56,51,56,51,56,64,53,48,41
105003,30,NA,Male,Bachelor's degree or higher,White,midwest,83,13,14,16,15,15,13,10,10,48,43,47,54,52,58,44,36,41
136007,19,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,70,16,11,11,14,12,11,11,10,38,51,37,37,49,47,36,40,41
126324,10,10.00 to 30.99 months,Male,Bachelor's degree or higher,Hispanic,northeast,95,15,18,14,15,10,18,20,16,56,49,58,47,52,39,60,70,57
126302,28,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,95,20,15,20,17,13,15,15,11,56,61,50,65,59,50,50,55,44
120004,28,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,93,21,14,18,17,15,14,15,13,55,64,47,59,59,58,47,55,49
126326,16,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,77,10,12,11,14,11,14,15,16,43,34,40,37,49,43,47,55,57
134010,16,10.00 to 30.99 months,Female,Some college or associate degree,White,northeast,99,20,18,18,14,18,20,11,21,59,61,58,59,49,67,65,40,69
120010,19,10.00 to 30.99 months,Male,Bachelor's degree or higher,MultiRacial,west,80,23,12,17,11,11,15,14,11,46,68,40,56,38,43,50,51,44
120009,15,10.00 to 30.99 months,Male,Some college or associate degree,MultiRacial,west,103,13,20,19,16,14,21,13,14,62,43,64,62,56,54,68,48,52
126281,11,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,80,14,17,13,13,13,12,12,14,46,46,56,44,46,50,40,44,52
120011,23,10.00 to 30.99 months,Female,Bachelor's degree or higher,Asian,west,99,17,15,13,18,19,16,18,12,59,54,50,44,62,71,53,64,47
138006,13,10.00 to 30.99 months,Female,Bachelor's degree or higher,MultiRacial,west,83,15,12,14,13,15,16,13,14,48,49,40,47,46,58,53,48,52
126332,22,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,northeast,72,13,16,12,10,14,10,10,11,40,43,53,41,34,54,32,36,44
126372,21,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,northeast,75,10,15,11,15,10,14,10,14,42,34,50,37,52,39,47,36,52
126333,21,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,84,15,18,15,16,11,13,11,16,49,49,58,51,56,43,44,40,57
136001,19,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,84,20,15,16,14,10,16,13,14,49,61,50,54,49,39,53,48,52
138005,12,10.00 to 30.99 months,Female,Some college or associate degree,White,west,103,17,17,16,17,18,18,17,16,62,54,56,54,59,67,60,61,57
134003,17,10.00 to 30.99 months,Female,Bachelor's degree or higher,Black,south,113,16,18,22,19,19,20,15,19,68,51,58,70,65,71,65,55,64
126062,26,10.00 to 30.99 months,Male,Some college or associate degree,White,south,70,11,14,11,11,12,11,11,11,38,37,47,37,38,47,36,40,44
126061,26,10.00 to 30.99 months,Male,Some college or associate degree,White,south,69,11,12,10,12,13,11,11,10,37,37,40,34,42,50,36,40,41
126229,25,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,88,12,16,19,16,12,12,13,11,51,40,53,62,56,47,40,48,44
105081,11,10.00 to 30.99 months,Female,Bachelor's degree or higher,MultiRacial,west,84,20,13,15,15,10,17,14,17,49,61,43,51,52,39,57,51,60
119006,14,10.00 to 30.99 months,Female,High school graduate (including GED),Black,south,77,16,19,15,13,10,10,10,10,43,51,61,51,46,39,32,36,41
106003,28,10.00 to 30.99 months,Male,Bachelor's degree or higher,Hispanic,midwest,90,13,15,16,18,10,15,16,13,53,43,50,54,62,39,50,58,49
126370,18,10.00 to 30.99 months,Female,Bachelor's degree or higher,Asian,west,115,22,18,21,18,17,22,19,22,69,66,58,67,62,64,71,67,71
134027,18,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,northeast,94,20,12,17,19,16,18,12,13,56,61,40,56,65,61,60,44,49
126361,26,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,west,73,11,14,15,12,10,11,11,10,40,37,47,51,42,39,36,40,41
126398,30,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,90,13,16,20,18,10,14,12,10,53,43,53,65,62,39,47,44,41
126317,30,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,94,18,18,17,14,17,16,12,11,56,56,58,56,49,64,53,44,44
126335,29,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,72,15,13,13,13,12,10,11,11,40,49,43,44,46,47,32,40,44
131026,24,10.00 to 30.99 months,Male,Some college or associate degree,White,west,80,12,15,14,12,12,14,13,10,46,40,50,47,42,47,47,48,41
134019,20,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,68,18,10,10,10,14,13,11,11,37,56,33,34,34,54,44,40,44
131003,24,10.00 to 30.99 months,Female,Bachelor's degree or higher,Hispanic,west,71,12,12,13,11,14,11,10,11,39,40,40,44,38,54,36,36,44
134024,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,71,18,12,14,11,11,12,11,10,39,56,40,47,38,43,40,40,41
131027,13,10.00 to 30.99 months,Male,High school graduate (including GED),White,west,93,21,12,17,16,17,18,13,20,55,64,40,56,56,64,60,48,67
126397,10,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,west,104,15,21,20,18,12,19,14,15,62,49,67,65,62,47,63,51,55
