IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,q0010,q0011,q0012,q0013,q0014,q0015,q0016,q0017,q0019,q0023,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0035,q0037,q0038,q0039,q0040,q0042,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0052,q0053,q0054,q0055,q0057,q0058,q0061,q0063,q0065,q0066,q0067,q0068,q0070,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0080,q0081,q0083,q0084,q0085,q0087,q0088,q0089,q0090,q0091,q0092,q0093,q0095,q0097,q0098,q0100,q0101,q0102,q0104,q0105,q0109,q0110,q0111,q0113,q0114,q0115,q0116,q0117,q0118,q0119,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
126178,SM,6,Female,Bachelor's degree or higher,Hispanic,midwest,1,1,1,1,1,2,1,1,1,1,4,4,1,4,4,1,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,03.5 to 6 mo,86,11,26,11,14,12,12,11,14
118021,SM,6,Male,Some college or associate degree,Hispanic,south,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,1,1,1,03.5 to 6 mo,62,12,10,10,10,11,11,10,17
118053,SM,7,Female,Some college or associate degree,White,south,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,4,1,1,2,1,1,1,07 to 10.5 mo,84,10,19,12,11,10,17,15,14
700202,Qual,8,Male,Some college or associate degree,White,south,2,1,1,1,1,2,3,1,3,1,2,4,1,4,4,2,2,3,4,1,3,1,1,2,2,2,2,2,1,1,2,1,1,4,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,4,4,1,1,4,4,4,07 to 10.5 mo,94,16,27,17,15,12,11,12,25
700250,Qual,8,Male,Some college or associate degree,White,south,1,1,1,2,1,3,3,1,1,1,1,4,1,4,4,1,4,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,4,2,1,2,1,1,2,1,1,2,2,2,2,3,1,4,2,1,1,3,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,07 to 10.5 mo,100,15,25,11,17,17,17,13,13
700217,Qual,8,Female,Some college or associate degree,White,south,1,1,1,1,2,1,1,2,2,2,3,3,1,2,3,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,07 to 10.5 mo,86,14,20,12,13,10,16,15,13
700275,Qual,8,Female,Some college or associate degree,White,south,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,2,2,1,4,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,4,2,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,07 to 10.5 mo,93,10,24,12,15,17,14,11,13
118080,SM,8,Male,Bachelor's degree or higher,Black,south,3,1,1,3,2,2,1,1,3,1,3,1,1,1,2,2,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,3,2,1,2,1,2,1,1,4,1,1,4,2,2,2,07 to 10.5 mo,87,18,18,11,18,10,14,16,20
119043,SM,9,Female,High school graduate (including GED),White,south,1,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,3,4,4,07 to 10.5 mo,70,15,10,12,12,10,16,10,22
119055,SM,4,Female,Bachelor's degree or higher,Black,south,1,2,1,2,2,2,4,1,1,2,2,3,1,3,4,1,3,1,3,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 6 mo,85,18,22,15,14,10,10,14,10
214023,SM,4,Female,Some college or associate degree,White,south,1,1,1,1,1,2,3,1,1,1,3,3,2,3,3,1,2,2,4,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 6 mo,90,13,25,14,14,10,12,15,10
141231,SM,4,Female,Some college or associate degree,White,south,1,1,1,2,1,2,2,1,1,1,3,3,1,2,2,1,1,1,4,2,2,1,2,1,2,1,1,3,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,4,1,1,4,4,4,4,03.5 to 6 mo,87,13,20,16,13,10,15,13,26
119058,SM,6,Female,Some college or associate degree,MultiRacial,south,1,1,2,1,1,2,2,1,1,1,2,3,2,2,4,2,2,1,4,2,1,1,2,1,2,1,1,3,1,1,1,1,1,4,2,2,4,2,2,3,2,1,2,1,2,2,1,2,2,1,3,4,3,4,1,2,1,2,2,1,2,2,2,2,3,4,3,1,2,1,2,1,1,4,2,1,3,2,2,1,03.5 to 6 mo,121,13,24,14,22,16,23,22,19
119064,SM,6,Female,Some college or associate degree,Black,south,1,3,1,1,1,3,3,1,1,3,1,2,1,4,2,1,2,1,4,1,2,2,1,1,2,2,2,3,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,03.5 to 6 mo,84,18,19,17,14,11,10,13,11
119080,SM,5,Female,Some college or associate degree,Black,south,1,1,2,1,1,2,2,2,1,3,2,2,1,2,2,2,1,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,3,4,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,4,1,1,4,4,4,4,03.5 to 6 mo,87,16,17,12,15,15,11,17,25
119086,SM,5,Female,Some college or associate degree,Other,south,1,1,1,1,1,1,1,1,1,1,4,3,1,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 6 mo,79,10,20,10,13,10,15,11,10
119091,SM,4,Male,Some college or associate degree,Black,south,1,1,2,1,1,3,2,1,1,1,1,2,1,3,3,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 6 mo,73,14,16,12,10,11,12,12,10
369024,Sp,5,Male,Bachelor's degree or higher,Hispanic,west,1,2,1,1,1,2,2,1,1,1,3,3,1,3,2,1,2,3,3,2,1,1,2,1,1,1,2,4,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,4,1,4,1,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,4,2,1,3,3,4,2,03.5 to 6 mo,95,13,23,15,13,12,20,12,22
126015,SM,7,Female,Bachelor's degree or higher,White,west,1,1,1,1,1,1,1,1,1,1,4,4,1,3,3,1,2,1,3,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,2,4,2,2,2,07 to 10.5 mo,82,10,23,14,12,10,12,11,21
126360,SM,7,Female,Bachelor's degree or higher,White,west,2,2,2,2,1,3,2,2,2,2,2,2,1,2,3,1,1,1,3,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,2,2,1,2,2,1,1,2,4,2,2,3,3,2,2,07 to 10.5 mo,84,20,17,15,12,12,11,17,22
190098,SM,8,Female,Bachelor's degree or higher,White,west,1,2,2,2,2,2,2,1,2,1,3,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,3,2,2,1,1,1,2,1,1,1,1,2,2,1,2,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,3,2,1,4,3,2,4,2,3,2,07 to 10.5 mo,84,17,15,13,16,13,15,12,26
126034,SM,8,Female,Bachelor's degree or higher,White,south,1,2,2,2,1,3,2,1,2,3,3,2,1,3,3,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,3,1,1,1,1,1,1,1,2,1,2,1,2,4,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,2,2,2,07 to 10.5 mo,88,19,20,12,15,12,18,11,18
131014,SM,5,Male,Bachelor's degree or higher,White,west,1,1,1,2,1,2,1,2,2,1,4,3,1,3,3,1,2,1,4,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,2,1,2,4,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,2,2,3,4,4,4,03.5 to 6 mo,94,14,24,14,16,12,18,10,28
126066,SM,5,Male,Bachelor's degree or higher,White,west,1,2,2,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,1,4,4,03.5 to 6 mo,65,17,11,10,10,10,13,11,22
126082,SM,7,Male,Bachelor's degree or higher,White,west,1,2,2,1,1,2,4,1,1,3,4,3,1,2,3,1,2,1,3,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,4,3,1,2,3,4,3,07 to 10.5 mo,85,18,21,13,12,10,14,15,23
126139,SM,5,Female,Bachelor's degree or higher,White,south,1,2,2,2,1,2,3,2,1,1,1,4,1,4,4,1,2,1,3,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,4,2,1,4,4,4,3,03.5 to 6 mo,89,17,22,14,15,11,13,14,25
236011,SM,4,Female,Bachelor's degree or higher,White,west,2,3,3,2,2,3,3,1,2,2,4,4,1,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,1,2,4,4,4,4,03.5 to 6 mo,111,23,26,20,19,10,17,19,29
126334,SM,7,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,1,1,3,2,1,1,2,2,1,2,2,1,2,2,4,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,2,2,4,1,1,4,3,3,3,07 to 10.5 mo,81,13,20,13,10,10,13,15,25
214005,SM,8,Male,Bachelor's degree or higher,White,midwest,1,1,1,1,1,2,1,1,1,2,2,4,1,3,4,1,3,1,3,1,1,1,2,2,2,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,4,1,2,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,1,1,07 to 10.5 mo,91,12,23,15,12,13,17,11,15
126394,SM,8,Male,Bachelor's degree or higher,Asian,west,1,1,1,1,1,2,1,1,3,1,4,3,1,4,4,1,2,1,2,1,1,1,1,2,2,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,4,2,2,1,3,4,4,07 to 10.5 mo,90,13,23,15,11,15,13,13,23
126399,SM,8,Male,Bachelor's degree or higher,White,west,1,1,1,3,1,3,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,3,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,07 to 10.5 mo,81,18,14,13,14,14,13,13,14
131004,SM,6,Female,Bachelor's degree or higher,Hispanic,west,1,3,1,1,1,2,2,1,2,1,2,3,1,3,3,1,2,2,3,2,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,3,1,4,1,4,3,03.5 to 6 mo,86,15,22,14,14,10,14,12,23
131016,SM,5,Female,Some college or associate degree,White,west,1,1,1,1,1,2,1,1,1,1,4,4,1,3,3,1,3,1,4,1,1,1,2,1,2,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,3,2,1,2,03.5 to 6 mo,90,11,25,15,11,11,14,14,14
131018,SM,6,Female,Some college or associate degree,Hispanic,west,1,1,1,1,1,1,1,1,1,1,2,4,1,4,4,1,3,1,4,1,1,1,1,1,1,1,1,4,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,2,3,1,1,03.5 to 6 mo,88,10,25,13,15,10,13,12,16
131020,SM,5,Female,Bachelor's degree or higher,Hispanic,west,2,2,1,1,1,3,2,1,1,3,3,2,1,2,3,1,1,1,3,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,1,4,4,2,4,4,3,3,03.5 to 6 mo,92,17,18,15,17,10,15,17,28
131022,SM,6,Female,Some college or associate degree,White,west,1,1,1,1,1,2,1,1,1,1,3,4,1,2,3,1,3,1,3,1,1,2,2,1,2,3,1,2,1,1,2,2,2,2,2,1,3,3,1,1,1,1,2,1,2,2,1,1,2,1,1,4,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 6 mo,103,11,22,16,19,14,15,17,10
131023,SM,7,Male,Some college or associate degree,White,west,1,1,1,2,1,2,2,2,2,3,3,3,1,3,4,1,2,2,3,2,1,1,1,1,2,2,2,2,1,1,3,2,1,2,2,2,3,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,4,3,3,2,07 to 10.5 mo,95,17,24,14,19,12,11,15,21
701185,Qual,4,Male,Some college or associate degree,White,west,2,2,2,2,2,2,3,2,1,3,3,3,1,3,3,2,3,1,3,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 6 mo,93,21,23,13,17,11,15,14,10
133003,SM,9,Male,Bachelor's degree or higher,White,west,1,1,1,1,1,1,1,1,1,1,4,4,1,3,3,1,4,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,07 to 10.5 mo,87,10,27,12,13,11,14,10,10
133010,SM,9,Male,Bachelor's degree or higher,MultiRacial,west,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,07 to 10.5 mo,72,15,14,12,12,11,13,10,15
134007,SM,6,Female,Some college or associate degree,Other,west,1,2,2,2,1,3,2,1,1,1,3,4,3,3,4,1,3,2,3,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,4,3,1,3,3,4,3,03.5 to 6 mo,100,16,28,14,14,10,17,17,24
134020,SM,6,Female,Bachelor's degree or higher,White,west,2,2,2,2,2,3,3,3,1,1,3,3,1,2,3,1,2,1,2,1,2,1,3,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,03.5 to 6 mo,87,21,19,15,14,10,16,13,13
136003,SM,9,Female,Bachelor's degree or higher,White,west,1,2,1,2,1,1,1,1,1,1,3,3,1,3,3,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,07 to 10.5 mo,82,12,20,13,14,10,13,12,13
136004,SM,9,Female,Some college or associate degree,MultiRacial,west,1,2,1,1,1,1,2,2,2,2,3,2,1,2,2,1,1,1,3,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,07 to 10.5 mo,78,15,17,14,13,11,10,13,14
136008,SM,5,Female,Bachelor's degree or higher,Asian,south,1,1,1,1,1,3,2,1,1,1,3,3,1,2,3,1,2,1,3,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,3,1,2,2,1,1,1,1,1,1,2,1,1,1,1,4,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,3,3,2,03.5 to 6 mo,87,13,20,13,15,11,15,13,18
136009,SM,4,Female,Some college or associate degree,White,west,1,2,1,1,1,2,2,1,1,1,3,3,2,2,3,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 6 mo,90,13,22,19,12,11,14,12,10
