IDNumber,data,DriveForm,q0133,q0134,q0135,q0136,q0137,q0138,q0139,q0140,q0141,q0142,q0143,q0144,q0145,q0146,q0147,q0148,q0149,q0150,TOT_raw
182019,Eng,AdultSR,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,25
182021,Eng,AdultSR,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,23
182023,Eng,AdultSR,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,19
182024,Eng,AdultSR,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,21
182025,Eng,AdultSR,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,3,1,27
182026,Eng,AdultSR,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,21
182029,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
189076,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
189077,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
189078,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
189079,Eng,AdultSR,1,2,1,2,1,1,1,2,1,1,1,1,3,1,1,1,3,1,25
189080,Eng,AdultSR,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,25
189081,Eng,AdultSR,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,22
189082,Eng,AdultSR,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,23
189083,Eng,AdultSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20
189084,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,21
189085,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
189086,Eng,AdultSR,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,20
189087,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,20
189088,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19
189090,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,19
189091,Eng,AdultSR,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,23
189092,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,19
189093,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
189096,Eng,AdultSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,20
189097,Eng,AdultSR,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
189098,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19
189099,Eng,AdultSR,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,23
189100,Eng,AdultSR,4,2,2,3,4,4,2,3,1,2,2,2,1,2,1,4,4,1,44
189101,Eng,AdultSR,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21
190001,Eng,AdultSR,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,23
190002,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
190003,Eng,AdultSR,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,19
190004,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
190005,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,20
190006,Eng,AdultSR,3,1,1,2,4,2,2,3,1,2,4,3,1,1,1,4,3,3,41
190007,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
190008,Eng,AdultSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,20
190009,Eng,AdultSR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36
190010,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
190011,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
190012,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
190013,Eng,AdultSR,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,19
190014,Eng,AdultSR,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
190015,Eng,AdultSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,21
190016,Eng,AdultSR,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,21
190017,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
190018,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,20
190022,Eng,AdultSR,2,2,1,1,2,1,1,4,1,1,2,2,1,2,1,2,3,2,31
190023,Eng,AdultSR,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,21
190024,Eng,AdultSR,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,21
190025,Eng,AdultSR,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,22
